#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,564+j185.378
2025-01-01 00:02:00.00 PST,566+j186.035
2025-01-01 00:03:00.00 PST,568+j186.693
2025-01-01 00:04:00.00 PST,570+j187.35
2025-01-01 00:05:00.00 PST,572+j188.007
2025-01-01 00:06:00.00 PST,574+j188.665
2025-01-01 00:07:00.00 PST,576+j189.322
2025-01-01 00:08:00.00 PST,578+j189.979
2025-01-01 00:09:00.00 PST,580+j190.637
2025-01-01 00:10:00.02 PST,610+j200.497
2025-01-01 00:11:00.02 PST,640+j210.358
2025-01-01 00:12:00.02 PST,670+j220.218
2025-01-01 00:13:00.02 PST,700+j230.079
2025-01-01 00:14:00.02 PST,730+j239.939
2025-01-01 00:15:00.02 PST,694+j228.107
2025-01-01 00:16:00.02 PST,658+j216.274
2025-01-01 00:17:00.02 PST,622+j204.442
2025-01-01 00:18:00.02 PST,586+j192.609
2025-01-01 00:19:00.02 PST,550+j180.776
2025-01-01 00:20:00.02 PST,544+j178.804
2025-01-01 00:21:00.02 PST,538+j176.832
2025-01-01 00:22:00.02 PST,532+j174.86
2025-01-01 00:23:00.02 PST,526+j172.888
2025-01-01 00:24:00.02 PST,520+j170.916
2025-01-01 00:25:00.02 PST,528+j173.545
2025-01-01 00:26:00.02 PST,536+j176.175
2025-01-01 00:27:00.02 PST,544+j178.804
2025-01-01 00:28:00.02 PST,552+j181.434
2025-01-01 00:29:00.02 PST,560+j184.063
2025-01-01 00:30:00.02 PST,558+j183.406
2025-01-01 00:31:00.02 PST,556+j182.748
2025-01-01 00:32:00.02 PST,554+j182.091
2025-01-01 00:33:00.02 PST,552+j181.434
2025-01-01 00:34:00.02 PST,550+j180.776
2025-01-01 00:35:00.02 PST,552+j181.434
2025-01-01 00:36:00.02 PST,554+j182.091
2025-01-01 00:37:00.02 PST,556+j182.748
2025-01-01 00:38:00.02 PST,558+j183.406
2025-01-01 00:39:00.02 PST,560+j184.063
2025-01-01 00:40:00.02 PST,538+j176.832
2025-01-01 00:41:00.02 PST,516+j169.601
2025-01-01 00:42:00.02 PST,494+j162.37
2025-01-01 00:43:00.02 PST,472+j155.139
2025-01-01 00:44:00.02 PST,450+j147.908
2025-01-01 00:45:00.02 PST,468.667+j154.043
2025-01-01 00:46:00.02 PST,487.333+j160.179
2025-01-01 00:47:00.02 PST,506+j166.314
2025-01-01 00:48:00.02 PST,524.667+j172.45
2025-01-01 00:49:00.02 PST,543.333+j178.585
2025-01-01 00:50:00.02 PST,492+j161.713
2025-01-01 00:51:00.02 PST,454+j149.223
2025-01-01 00:52:00.02 PST,416+j136.733
2025-01-01 00:53:00.02 PST,378+j124.243
2025-01-01 00:54:00.02 PST,340+j111.753
2025-01-01 00:55:00.02 PST,336+j110.438
2025-01-01 00:56:00.02 PST,334+j109.78
2025-01-01 00:57:00.02 PST,332+j109.123
2025-01-01 00:58:00.02 PST,330+j108.466
2025-01-01 00:59:00.02 PST,328+j107.808
2025-01-01 01:00:00.02 PST,330+j108.466
2025-01-01 01:01:00.02 PST,328+j107.808
2025-01-01 01:02:00.02 PST,326+j107.151
2025-01-01 01:03:00.02 PST,324+j106.494
2025-01-01 01:04:00.02 PST,322+j105.836
2025-01-01 01:05:00.02 PST,342+j112.41
2025-01-01 01:06:00.02 PST,364+j119.641
2025-01-01 01:07:00.02 PST,386+j126.872
2025-01-01 01:08:00.02 PST,408+j134.103
2025-01-01 01:09:00.02 PST,430+j141.334
2025-01-01 01:10:00.02 PST,426+j140.019
2025-01-01 01:11:00.02 PST,422+j138.705
2025-01-01 01:12:00.02 PST,418+j137.39
2025-01-01 01:13:00.02 PST,414+j136.075
2025-01-01 01:14:00.02 PST,410+j134.76
2025-01-01 01:15:00.02 PST,410+j134.76
2025-01-01 01:16:00.02 PST,412+j135.418
2025-01-01 01:17:00.02 PST,414+j136.075
2025-01-01 01:18:00.02 PST,416+j136.733
2025-01-01 01:19:00.02 PST,418+j137.39
2025-01-01 01:20:00.02 PST,420+j138.047
2025-01-01 01:21:00.02 PST,420+j138.047
2025-01-01 01:22:00.02 PST,420+j138.047
2025-01-01 01:23:00.02 PST,420+j138.047
2025-01-01 01:24:00.02 PST,420+j138.047
2025-01-01 01:25:00.02 PST,424+j139.362
2025-01-01 01:26:00.02 PST,426+j140.019
2025-01-01 01:27:00.02 PST,428+j140.677
2025-01-01 01:28:00.02 PST,430+j141.334
