#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,253+j83.157
2025-01-01 00:02:00.00 PST,249.667+j82.062
2025-01-01 00:03:00.00 PST,245+j80.528
2025-01-01 00:04:00.00 PST,241+j79.213
2025-01-01 00:05:00.00 PST,246.333+j80.966
2025-01-01 00:06:00.00 PST,250.333+j82.28
2025-01-01 00:07:00.00 PST,254.333+j83.595
2025-01-01 00:08:00.00 PST,258.333+j84.91
2025-01-01 00:09:00.00 PST,262.333+j86.225
2025-01-01 00:10:00.02 PST,257+j84.472
2025-01-01 00:11:00.02 PST,253+j83.157
2025-01-01 00:12:00.02 PST,248+j81.514
2025-01-01 00:13:00.02 PST,243+j79.87
2025-01-01 00:14:00.02 PST,238+j78.227
2025-01-01 00:15:00.02 PST,238.333+j78.336
2025-01-01 00:16:00.02 PST,237+j77.898
2025-01-01 00:17:00.02 PST,231+j75.926
2025-01-01 00:18:00.02 PST,230.667+j75.817
2025-01-01 00:19:00.02 PST,231.333+j76.035
2025-01-01 00:20:00.02 PST,229.667+j75.488
2025-01-01 00:21:00.02 PST,228.333+j75.049
2025-01-01 00:22:00.02 PST,224+j73.625
2025-01-01 00:23:00.02 PST,219.667+j72.201
2025-01-01 00:24:00.02 PST,215.333+j70.777
2025-01-01 00:25:00.02 PST,211+j69.352
2025-01-01 00:26:00.02 PST,206.667+j67.928
2025-01-01 00:27:00.02 PST,206.667+j67.928
2025-01-01 00:28:00.02 PST,206+j67.709
2025-01-01 00:29:00.02 PST,205.333+j67.49
2025-01-01 00:30:00.02 PST,206+j67.709
2025-01-01 00:31:00.02 PST,207.333+j68.147
2025-01-01 00:32:00.02 PST,204.667+j67.271
2025-01-01 00:33:00.02 PST,203+j66.723
2025-01-01 00:34:00.02 PST,200.333+j65.846
2025-01-01 00:35:00.02 PST,197.333+j64.86
2025-01-01 00:36:00.02 PST,192.667+j63.327
2025-01-01 00:37:00.02 PST,192+j63.107
2025-01-01 00:38:00.02 PST,190.333+j62.559
2025-01-01 00:39:00.02 PST,189.667+j62.341
2025-01-01 00:40:00.02 PST,189.333+j62.231
2025-01-01 00:41:00.02 PST,190+j62.45
2025-01-01 00:42:00.02 PST,190.667+j62.669
2025-01-01 00:43:00.02 PST,192.333+j63.217
2025-01-01 00:44:00.02 PST,193+j63.436
2025-01-01 00:45:00.02 PST,193.333+j63.545
2025-01-01 00:46:00.02 PST,192+j63.107
2025-01-01 00:47:00.02 PST,190.667+j62.669
2025-01-01 00:48:00.02 PST,189.333+j62.231
2025-01-01 00:49:00.02 PST,188+j61.793
2025-01-01 00:50:00.02 PST,189.333+j62.231
2025-01-01 00:51:00.02 PST,191.333+j62.888
