#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,1225.1+j402.672
2025-01-01 00:02:00.00 PST,1147.44+j377.147
2025-01-01 00:03:00.00 PST,1189.22+j390.878
2025-01-01 00:04:00.00 PST,1180.67+j388.066
2025-01-01 00:05:00.00 PST,1313.33+j431.672
2025-01-01 00:06:00.00 PST,1266+j416.114
2025-01-01 00:07:00.00 PST,1235.33+j406.034
2025-01-01 00:08:00.00 PST,1200.5+j394.585
2025-01-01 00:09:00.00 PST,1162.44+j382.077
2025-01-01 00:10:00.02 PST,1126.39+j370.226
2025-01-01 00:11:00.02 PST,1040.33+j341.941
2025-01-01 00:12:00.02 PST,1025.11+j336.938
2025-01-01 00:13:00.02 PST,1016.56+j334.126
2025-01-01 00:14:00.02 PST,1122.67+j369.003
2025-01-01 00:15:00.02 PST,1108+j364.182
2025-01-01 00:16:00.02 PST,1120+j368.126
2025-01-01 00:17:00.02 PST,1112+j365.497
2025-01-01 00:18:00.02 PST,1114+j366.154
2025-01-01 00:19:00.02 PST,1125.33+j369.879
2025-01-01 00:20:00.02 PST,1127.33+j370.536
2025-01-01 00:21:00.02 PST,1122.67+j369.003
2025-01-01 00:22:00.02 PST,1138+j374.043
2025-01-01 00:23:00.02 PST,1140+j374.7
2025-01-01 00:24:00.02 PST,1129.33+j371.194
2025-01-01 00:25:00.02 PST,1131+j371.742
2025-01-01 00:26:00.02 PST,1132.67+j372.29
2025-01-01 00:27:00.02 PST,1134.33+j372.837
2025-01-01 00:28:00.02 PST,1146+j376.672
2025-01-01 00:29:00.02 PST,1137.67+j373.933
2025-01-01 00:30:00.02 PST,1188+j390.477
2025-01-01 00:31:00.02 PST,1232+j404.939
2025-01-01 00:32:00.02 PST,1282.33+j421.482
2025-01-01 00:33:00.02 PST,1326.33+j435.945
2025-01-01 00:34:00.02 PST,1384.67+j455.118
2025-01-01 00:35:00.02 PST,1376.17+j452.324
2025-01-01 00:36:00.02 PST,1357.33+j446.134
2025-01-01 00:37:00.02 PST,1343.5+j441.587
2025-01-01 00:38:00.02 PST,1329.33+j436.931
2025-01-01 00:39:00.02 PST,1295.89+j425.938
2025-01-01 00:40:00.02 PST,1241.11+j407.933
2025-01-01 00:41:00.02 PST,1179.67+j387.738
2025-01-01 00:42:00.02 PST,1197.56+j393.618
2025-01-01 00:43:00.02 PST,1145.44+j376.489
2025-01-01 00:44:00.02 PST,1216.67+j399.899
2025-01-01 00:45:00.02 PST,1209.67+j397.598
2025-01-01 00:46:00.02 PST,1213+j398.694
2025-01-01 00:47:00.02 PST,1218.67+j400.556
2025-01-01 00:48:00.02 PST,1211.33+j398.146
2025-01-01 00:49:00.02 PST,1191.67+j391.682
