#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,2620+j861.152
2025-01-01 00:02:00.00 PST,2618+j860.495
2025-01-01 00:03:00.00 PST,2337+j768.135
2025-01-01 00:04:00.00 PST,2342+j769.778
2025-01-01 00:05:00.00 PST,2327+j764.848
2025-01-01 00:06:00.00 PST,2319+j762.218
2025-01-01 00:07:00.00 PST,2307+j758.274
2025-01-01 00:08:00.00 PST,2289+j752.358
2025-01-01 00:09:00.00 PST,2281+j749.728
2025-01-01 00:10:00.02 PST,2170+j713.245
2025-01-01 00:11:00.02 PST,2164.5+j711.437
2025-01-01 00:12:00.02 PST,2191.6+j720.344
2025-01-01 00:13:00.02 PST,2183.7+j717.747
2025-01-01 00:14:00.02 PST,2194.8+j721.396
2025-01-01 00:15:00.02 PST,2193.4+j720.936
2025-01-01 00:16:00.02 PST,2212+j727.049
2025-01-01 00:17:00.02 PST,2226.8+j731.914
2025-01-01 00:18:00.02 PST,2273.6+j747.296
2025-01-01 00:19:00.02 PST,2337.4+j768.266
2025-01-01 00:20:00.02 PST,2388.2+j784.963
2025-01-01 00:21:00.02 PST,2356+j774.38
2025-01-01 00:22:00.02 PST,2300.8+j756.236
2025-01-01 00:23:00.02 PST,2225.6+j731.519
2025-01-01 00:24:00.02 PST,2156.4+j708.774
2025-01-01 00:25:00.02 PST,2068.2+j679.784
2025-01-01 00:26:00.02 PST,2075+j682.02
2025-01-01 00:27:00.02 PST,2069+j680.047
2025-01-01 00:28:00.02 PST,2075+j682.02
2025-01-01 00:29:00.02 PST,2216+j728.364
2025-01-01 00:30:00.02 PST,2188+j719.161
2025-01-01 00:31:00.02 PST,2190+j719.818
2025-01-01 00:32:00.02 PST,2172.6+j714.099
2025-01-01 00:33:00.02 PST,2203.2+j724.157
2025-01-01 00:34:00.02 PST,2143.8+j704.633
2025-01-01 00:35:00.02 PST,2103.4+j691.354
2025-01-01 00:36:00.02 PST,2044+j671.83
2025-01-01 00:37:00.02 PST,2023.8+j665.191
2025-01-01 00:38:00.02 PST,2027.6+j666.44
2025-01-01 00:39:00.02 PST,2031.4+j667.689
2025-01-01 00:40:00.02 PST,2010.2+j660.721
2025-01-01 00:41:00.02 PST,2046+j672.488
2025-01-01 00:42:00.02 PST,2042.2+j671.239
2025-01-01 00:43:00.02 PST,2037.4+j669.661
2025-01-01 00:44:00.02 PST,2048.6+j673.342
2025-01-01 00:45:00.02 PST,2068.8+j679.982
2025-01-01 00:46:00.02 PST,2219+j729.35
2025-01-01 00:47:00.02 PST,2353+j773.394
2025-01-01 00:48:00.02 PST,2488+j817.766
2025-01-01 00:49:00.02 PST,2613+j858.852
2025-01-01 00:50:00.02 PST,2742+j901.252
2025-01-01 00:51:00.02 PST,2609+j857.537
2025-01-01 00:52:00.02 PST,2452.8+j806.196
2025-01-01 00:53:00.02 PST,2318.6+j762.087
2025-01-01 00:54:00.02 PST,2154.4+j708.117
2025-01-01 00:55:00.02 PST,1924.2+j632.454
2025-01-01 00:56:00.02 PST,1906+j626.472
2025-01-01 00:57:00.02 PST,1904.6+j626.012
2025-01-01 00:58:00.02 PST,1937.2+j636.727
2025-01-01 00:59:00.02 PST,1971.8+j648.099
2025-01-01 01:00:00.02 PST,1992.4+j654.87
2025-01-01 01:01:00.02 PST,2148+j706.013
2025-01-01 01:02:00.02 PST,2287.4+j751.832
2025-01-01 01:03:00.02 PST,2370.8+j779.244
2025-01-01 01:04:00.02 PST,2348.2+j771.816
2025-01-01 01:05:00.02 PST,2427.6+j797.914
2025-01-01 01:06:00.02 PST,2259+j742.497
2025-01-01 01:07:00.02 PST,2071.6+j680.902
2025-01-01 01:08:00.02 PST,1934.2+j635.741
2025-01-01 01:09:00.02 PST,1789.8+j588.279
2025-01-01 01:10:00.02 PST,1641.4+j539.502
2025-01-01 01:11:00.02 PST,1637+j538.056
2025-01-01 01:12:00.02 PST,1637.2+j538.122
2025-01-01 01:13:00.02 PST,1625.4+j534.243
2025-01-01 01:14:00.02 PST,1613.6+j530.365
2025-01-01 01:15:00.02 PST,1599.8+j525.829
2025-01-01 01:16:00.02 PST,1716+j564.022
2025-01-01 01:17:00.02 PST,1835.8+j603.398
2025-01-01 01:18:00.02 PST,1949.6+j640.803
2025-01-01 01:19:00.02 PST,2073.4+j681.494
2025-01-01 01:20:00.02 PST,2199.2+j722.842
2025-01-01 01:21:00.02 PST,2069+j680.047
2025-01-01 01:22:00.02 PST,1963+j645.207
2025-01-01 01:23:00.02 PST,1858+j610.695
2025-01-01 01:24:00.02 PST,1748+j574.54
2025-01-01 01:25:00.02 PST,1648+j541.671
2025-01-01 01:26:00.02 PST,1646+j541.014
2025-01-01 01:27:00.02 PST,1756.2+j577.235
2025-01-01 01:28:00.02 PST,1757.4+j577.629
2025-01-01 01:29:00.02 PST,1772.6+j582.625
2025-01-01 01:30:00.02 PST,1786.8+j587.293
2025-01-01 01:31:00.02 PST,1835+j603.135
2025-01-01 01:32:00.02 PST,1817+j597.219
2025-01-01 01:33:00.02 PST,1789+j588.016
2025-01-01 01:34:00.02 PST,1763+j579.47
2025-01-01 01:35:00.02 PST,1736+j570.596
2025-01-01 01:36:00.02 PST,1692+j556.134
2025-01-01 01:37:00.02 PST,1688+j554.819
2025-01-01 01:38:00.02 PST,1668+j548.245
2025-01-01 01:39:00.02 PST,1656+j544.301
2025-01-01 01:40:00.02 PST,1654+j543.644
2025-01-01 01:41:00.02 PST,1663+j546.602
2025-01-01 01:42:00.02 PST,1647.8+j541.606
2025-01-01 01:43:00.02 PST,1648.6+j541.869
2025-01-01 01:44:00.02 PST,1651.4+j542.789
2025-01-01 01:45:00.02 PST,1647.2+j541.408
2025-01-01 01:46:00.02 PST,1629+j535.426
2025-01-01 01:47:00.02 PST,1636.4+j537.859
2025-01-01 01:48:00.02 PST,1625.8+j534.375
2025-01-01 01:49:00.02 PST,1620.2+j532.534
2025-01-01 01:50:00.02 PST,1628.6+j535.295
2025-01-01 01:51:00.02 PST,1762+j579.141
2025-01-01 01:52:00.02 PST,1888.6+j620.753
2025-01-01 01:53:00.02 PST,2019.2+j663.679
2025-01-01 01:54:00.02 PST,2145.8+j705.29
2025-01-01 01:55:00.02 PST,2264.4+j744.272
2025-01-01 01:56:00.02 PST,2135+j701.741
2025-01-01 01:57:00.02 PST,2021+j664.271
2025-01-01 01:58:00.02 PST,1907+j626.801
2025-01-01 01:59:00.02 PST,1807+j593.932
2025-01-01 02:00:00.02 PST,1678+j551.532
2025-01-01 02:01:00.02 PST,1693+j556.462
2025-01-01 02:02:00.02 PST,2995+j984.409
2025-01-01 02:03:00.02 PST,1747+j574.211
2025-01-01 02:04:00.02 PST,1821+j598.534
2025-01-01 02:05:00.02 PST,1810+j594.918
2025-01-01 02:06:00.02 PST,1793+j589.331
2025-01-01 02:07:00.02 PST,1660.8+j545.879
2025-01-01 02:08:00.02 PST,1548.6+j509
2025-01-01 02:09:00.02 PST,1496.4+j491.843
2025-01-01 02:10:00.02 PST,1484.2+j487.833
2025-01-01 02:11:00.02 PST,1504+j494.341
2025-01-01 02:12:00.02 PST,1531.8+j503.478
2025-01-01 02:13:00.02 PST,1549.6+j509.329
2025-01-01 02:14:00.02 PST,1574.4+j517.48
2025-01-01 02:15:00.02 PST,1599.2+j525.632
2025-01-01 02:16:00.02 PST,1634+j537.07
2025-01-01 02:17:00.02 PST,1675.6+j550.743
2025-01-01 02:18:00.02 PST,1724.2+j566.717
2025-01-01 02:19:00.02 PST,1774.8+j583.349
2025-01-01 02:20:00.02 PST,1824.4+j599.651
2025-01-01 02:21:00.02 PST,1835+j603.135
