#timestamp,constant_power_A
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,546.667+j179.681
2025-01-01 00:02:00.00 PST,569.333+j187.131
2025-01-01 00:03:00.00 PST,592+j194.581
2025-01-01 00:04:00.00 PST,614.667+j202.031
2025-01-01 00:05:00.00 PST,784.667+j257.908
2025-01-01 00:06:00.00 PST,939.333+j308.744
2025-01-01 00:07:00.00 PST,1181.33+j388.285
2025-01-01 00:08:00.00 PST,1423.33+j467.827
2025-01-01 00:09:00.00 PST,1665.33+j547.368
2025-01-01 00:10:00.02 PST,1620.67+j532.687
2025-01-01 00:11:00.02 PST,1579.33+j519.102
2025-01-01 00:12:00.02 PST,1426.67+j468.923
2025-01-01 00:13:00.02 PST,1273.33+j418.524
2025-01-01 00:14:00.02 PST,1120+j368.126
2025-01-01 00:15:00.02 PST,1117.33+j367.25
2025-01-01 00:16:00.02 PST,1116+j366.811
2025-01-01 00:17:00.02 PST,982.667+j322.987
2025-01-01 00:18:00.02 PST,850.667+j279.601
2025-01-01 00:19:00.02 PST,718.667+j236.214
2025-01-01 00:20:00.02 PST,581.333+j191.075
2025-01-01 00:21:00.02 PST,444.667+j146.155
2025-01-01 00:22:00.02 PST,441.333+j145.059
2025-01-01 00:23:00.02 PST,437.333+j143.744
2025-01-01 00:24:00.02 PST,433.333+j142.43
2025-01-01 00:25:00.02 PST,433.333+j142.43
2025-01-01 00:26:00.02 PST,433.333+j142.43
2025-01-01 00:27:00.02 PST,431.222+j141.736
2025-01-01 00:28:00.02 PST,428.444+j140.823
2025-01-01 00:29:00.02 PST,425.667+j139.91
2025-01-01 00:30:00.02 PST,420.667+j138.267
2025-01-01 00:31:00.02 PST,415+j136.404
2025-01-01 00:32:00.02 PST,413.333+j135.856
2025-01-01 00:33:00.02 PST,409.278+j134.523
2025-01-01 00:34:00.02 PST,405.222+j133.19
2025-01-01 00:35:00.02 PST,401.833+j132.076
2025-01-01 00:36:00.02 PST,396.667+j130.378
2025-01-01 00:37:00.02 PST,400+j131.474
2025-01-01 00:38:00.02 PST,410+j134.76
2025-01-01 00:39:00.02 PST,420+j138.047
2025-01-01 00:40:00.02 PST,429.333+j141.115
2025-01-01 00:41:00.02 PST,432.667+j142.211
2025-01-01 00:42:00.02 PST,854+j280.696
2025-01-01 00:43:00.02 PST,1268+j416.771
2025-01-01 00:44:00.02 PST,1682+j552.847
2025-01-01 00:45:00.02 PST,2095.33+j688.703
2025-01-01 00:46:00.02 PST,2509.33+j824.778
2025-01-01 00:47:00.02 PST,2078+j683.006
2025-01-01 00:48:00.02 PST,1647.33+j541.452
2025-01-01 00:49:00.02 PST,1216.67+j399.899
2025-01-01 00:50:00.02 PST,786.667+j258.565
2025-01-01 00:51:00.02 PST,363.333+j119.422
2025-01-01 00:52:00.02 PST,375.333+j123.366
2025-01-01 00:53:00.02 PST,387.333+j127.31
2025-01-01 00:54:00.02 PST,399.333+j131.254
2025-01-01 00:55:00.02 PST,411.333+j135.199
