#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,1427+j469.032
2025-01-01 00:02:00.00 PST,1399+j459.829
2025-01-01 00:03:00.00 PST,1371+j450.626
2025-01-01 00:04:00.00 PST,1343+j441.423
2025-01-01 00:05:00.00 PST,1312+j431.234
2025-01-01 00:06:00.00 PST,1300+j427.289
2025-01-01 00:07:00.00 PST,1290+j424.002
2025-01-01 00:08:00.00 PST,1288+j423.345
2025-01-01 00:09:00.00 PST,1310+j430.576
2025-01-01 00:10:00.02 PST,1332+j437.807
2025-01-01 00:11:00.02 PST,1306+j429.261
2025-01-01 00:12:00.02 PST,1348+j443.066
2025-01-01 00:13:00.02 PST,1360+j447.01
2025-01-01 00:14:00.02 PST,1368+j449.64
2025-01-01 00:15:00.02 PST,1376+j452.269
2025-01-01 00:16:00.02 PST,1386+j455.556
2025-01-01 00:17:00.02 PST,1396+j458.843
2025-01-01 00:18:00.02 PST,1406+j462.13
2025-01-01 00:19:00.02 PST,1740+j571.91
2025-01-01 00:20:00.02 PST,2064+j678.404
2025-01-01 00:21:00.02 PST,2356+j774.38
2025-01-01 00:22:00.02 PST,2722+j894.678
2025-01-01 00:23:00.02 PST,3088+j1014.98
2025-01-01 00:24:00.02 PST,3124+j1026.81
2025-01-01 00:25:00.02 PST,3170+j1041.93
2025-01-01 00:26:00.02 PST,3122+j1026.15
2025-01-01 00:27:00.02 PST,3080+j1012.35
2025-01-01 00:28:00.02 PST,3038+j998.542
2025-01-01 00:29:00.02 PST,3002+j986.71
2025-01-01 00:30:00.02 PST,2960+j972.905
2025-01-01 00:31:00.02 PST,2962+j973.562
2025-01-01 00:32:00.02 PST,2949+j969.289
2025-01-01 00:33:00.02 PST,2949+j969.289
2025-01-01 00:34:00.02 PST,2940+j966.331
2025-01-01 00:35:00.02 PST,2938+j965.674
2025-01-01 00:36:00.02 PST,2932+j963.702
2025-01-01 00:37:00.02 PST,2926+j961.73
2025-01-01 00:38:00.02 PST,2904+j954.499
2025-01-01 00:39:00.02 PST,2890+j949.897
2025-01-01 00:40:00.02 PST,2856+j938.722
2025-01-01 00:41:00.02 PST,2858+j939.379
2025-01-01 00:42:00.02 PST,2864+j941.351
2025-01-01 00:43:00.02 PST,2862+j940.694
2025-01-01 00:44:00.02 PST,2876+j945.295
2025-01-01 00:45:00.02 PST,2880+j946.61
2025-01-01 00:46:00.02 PST,2908+j955.813
2025-01-01 00:47:00.02 PST,3028+j995.255
2025-01-01 00:48:00.02 PST,3038+j998.542
2025-01-01 00:49:00.02 PST,3006+j988.024
2025-01-01 00:50:00.02 PST,2984+j980.793
2025-01-01 00:51:00.02 PST,2946+j968.303
2025-01-01 00:52:00.02 PST,2918+j959.1
2025-01-01 00:53:00.02 PST,2880+j946.61
2025-01-01 00:54:00.02 PST,2880+j946.61
2025-01-01 00:55:00.02 PST,2970+j976.192
2025-01-01 00:56:00.02 PST,3002+j986.71
