#timestamp,constant_power_A
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,2328.33+j765.286
2025-01-01 00:02:00.00 PST,2323.5+j763.698
2025-01-01 00:03:00.00 PST,2318.67+j762.109
2025-01-01 00:04:00.00 PST,2311.33+j759.698
2025-01-01 00:05:00.00 PST,2304+j757.288
2025-01-01 00:06:00.00 PST,2296.67+j754.878
2025-01-01 00:07:00.00 PST,2288.67+j752.248
2025-01-01 00:08:00.00 PST,2280.67+j749.619
2025-01-01 00:09:00.00 PST,2272.67+j746.99
2025-01-01 00:10:00.02 PST,2259.67+j742.717
2025-01-01 00:11:00.02 PST,2246.67+j738.444
2025-01-01 00:12:00.02 PST,2240.33+j736.362
2025-01-01 00:13:00.02 PST,2234+j734.28
2025-01-01 00:14:00.02 PST,2230.67+j733.185
2025-01-01 00:15:00.02 PST,2227.33+j732.089
2025-01-01 00:16:00.02 PST,2224+j730.993
2025-01-01 00:17:00.02 PST,2203.33+j724.201
2025-01-01 00:18:00.02 PST,2182.67+j717.408
2025-01-01 00:19:00.02 PST,2188+j719.161
2025-01-01 00:20:00.02 PST,2193.33+j720.914
2025-01-01 00:21:00.02 PST,2198.67+j722.667
2025-01-01 00:22:00.02 PST,2212+j727.049
2025-01-01 00:23:00.02 PST,2225.33+j731.432
2025-01-01 00:24:00.02 PST,2222.67+j730.555
2025-01-01 00:25:00.02 PST,2220+j729.679
2025-01-01 00:26:00.02 PST,2217.33+j728.802
2025-01-01 00:27:00.02 PST,2218.67+j729.241
2025-01-01 00:28:00.02 PST,2220+j729.679
2025-01-01 00:29:00.02 PST,2213.33+j727.487
2025-01-01 00:30:00.02 PST,2206.67+j725.296
2025-01-01 00:31:00.02 PST,2200+j723.105
2025-01-01 00:32:00.02 PST,2190+j719.818
2025-01-01 00:33:00.02 PST,2180+j716.531
2025-01-01 00:34:00.02 PST,2170+j713.245
2025-01-01 00:35:00.02 PST,2167.5+j712.423
2025-01-01 00:36:00.02 PST,2165+j711.601
2025-01-01 00:37:00.02 PST,2161.83+j710.56
