#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,248+j81.514
2025-01-01 00:02:00.00 PST,244.667+j80.418
2025-01-01 00:03:00.00 PST,241.333+j79.322
2025-01-01 00:04:00.00 PST,246+j80.856
2025-01-01 00:05:00.00 PST,250.667+j82.39
2025-01-01 00:06:00.00 PST,255.333+j83.924
2025-01-01 00:07:00.00 PST,262.667+j86.334
2025-01-01 00:08:00.00 PST,270+j88.745
2025-01-01 00:09:00.00 PST,318.667+j104.741
2025-01-01 00:10:00.02 PST,317.333+j104.302
2025-01-01 00:11:00.02 PST,266+j87.43
2025-01-01 00:12:00.02 PST,264.667+j86.992
2025-01-01 00:13:00.02 PST,263.333+j86.553
2025-01-01 00:14:00.02 PST,271.111+j89.11
2025-01-01 00:15:00.02 PST,278.889+j91.666
2025-01-01 00:16:00.02 PST,286.667+j94.223
2025-01-01 00:17:00.02 PST,304.444+j100.066
2025-01-01 00:18:00.02 PST,300.889+j98.897
2025-01-01 00:19:00.02 PST,307.333+j101.015
2025-01-01 00:20:00.02 PST,298+j97.948
2025-01-01 00:21:00.02 PST,288.667+j94.88
2025-01-01 00:22:00.02 PST,279.333+j91.812
2025-01-01 00:23:00.02 PST,278+j91.374
2025-01-01 00:24:00.02 PST,279.333+j91.812
2025-01-01 00:25:00.02 PST,298+j97.948
2025-01-01 00:26:00.02 PST,296.667+j97.51
2025-01-01 00:27:00.02 PST,305.333+j100.358
2025-01-01 00:28:00.02 PST,306.667+j100.797
2025-01-01 00:29:00.02 PST,305.333+j100.358
2025-01-01 00:30:00.02 PST,314.667+j103.426
2025-01-01 00:31:00.02 PST,304+j99.92
2025-01-01 00:32:00.02 PST,303.333+j99.701
2025-01-01 00:33:00.02 PST,304+j99.92
2025-01-01 00:34:00.02 PST,314.667+j103.426
2025-01-01 00:35:00.02 PST,305.333+j100.358
2025-01-01 00:36:00.02 PST,316+j103.864
2025-01-01 00:37:00.02 PST,306.667+j100.797
2025-01-01 00:38:00.02 PST,406.667+j133.665
2025-01-01 00:39:00.02 PST,416.667+j136.952
2025-01-01 00:40:00.02 PST,406+j133.446
2025-01-01 00:41:00.02 PST,405.333+j133.227
2025-01-01 00:42:00.02 PST,404.667+j133.008
2025-01-01 00:43:00.02 PST,410.667+j134.98
2025-01-01 00:44:00.02 PST,410.667+j134.98
2025-01-01 00:45:00.02 PST,411.333+j135.199
2025-01-01 00:46:00.02 PST,412+j135.418
2025-01-01 00:47:00.02 PST,402.667+j132.35
2025-01-01 00:48:00.02 PST,394.667+j129.721
2025-01-01 00:49:00.02 PST,373.333+j122.709
2025-01-01 00:50:00.02 PST,362+j118.984
2025-01-01 00:51:00.02 PST,350.667+j115.259
2025-01-01 00:52:00.02 PST,339.333+j111.533
2025-01-01 00:53:00.02 PST,339.333+j111.533
2025-01-01 00:54:00.02 PST,338+j111.095
2025-01-01 00:55:00.02 PST,336.667+j110.657
2025-01-01 00:56:00.02 PST,335.333+j110.219
2025-01-01 00:57:00.02 PST,334+j109.78
2025-01-01 00:58:00.02 PST,328.667+j108.028
2025-01-01 00:59:00.02 PST,325.333+j106.932
2025-01-01 01:00:00.02 PST,316.667+j104.083
2025-01-01 01:01:00.02 PST,308+j101.235
2025-01-01 01:02:00.02 PST,299.333+j98.386
2025-01-01 01:03:00.02 PST,295.333+j97.071
2025-01-01 01:04:00.02 PST,288.667+j94.88
2025-01-01 01:05:00.02 PST,288+j94.661
2025-01-01 01:06:00.02 PST,287.333+j94.442
2025-01-01 01:07:00.02 PST,276.667+j90.936
2025-01-01 01:08:00.02 PST,276+j90.717
2025-01-01 01:09:00.02 PST,277.333+j91.155
2025-01-01 01:10:00.02 PST,277.333+j91.155
2025-01-01 01:11:00.02 PST,267.333+j87.868
2025-01-01 01:12:00.02 PST,267.333+j87.868
2025-01-01 01:13:00.02 PST,267.333+j87.868
2025-01-01 01:14:00.02 PST,266.667+j87.649
2025-01-01 01:15:00.02 PST,266.667+j87.649
2025-01-01 01:16:00.02 PST,266.667+j87.649
2025-01-01 01:17:00.02 PST,266.667+j87.649
2025-01-01 01:18:00.02 PST,196.667+j64.641
2025-01-01 01:19:00.02 PST,196.667+j64.641
2025-01-01 01:20:00.02 PST,197.333+j64.86
2025-01-01 01:21:00.02 PST,198+j65.079
2025-01-01 01:22:00.02 PST,198.667+j65.299
2025-01-01 01:23:00.02 PST,200+j65.737
2025-01-01 01:24:00.02 PST,200.667+j65.956
2025-01-01 01:25:00.02 PST,200.667+j65.956
2025-01-01 01:26:00.02 PST,200.667+j65.956
2025-01-01 01:27:00.02 PST,200.667+j65.956
2025-01-01 01:28:00.02 PST,199.333+j65.518
2025-01-01 01:29:00.02 PST,199.333+j65.518
2025-01-01 01:30:00.02 PST,199.333+j65.518
2025-01-01 01:31:00.02 PST,199.333+j65.518
2025-01-01 01:32:00.02 PST,199.333+j65.518
2025-01-01 01:33:00.02 PST,200+j65.737
2025-01-01 01:34:00.02 PST,199.333+j65.518
2025-01-01 01:35:00.02 PST,198.667+j65.299
2025-01-01 01:36:00.02 PST,198+j65.079
2025-01-01 01:37:00.02 PST,197.333+j64.86
2025-01-01 01:38:00.02 PST,206.667+j67.928
2025-01-01 01:39:00.02 PST,197.333+j64.86
2025-01-01 01:40:00.02 PST,198+j65.079
2025-01-01 01:41:00.02 PST,208.667+j68.586
2025-01-01 01:42:00.02 PST,199.333+j65.518
2025-01-01 01:43:00.02 PST,206+j67.709
2025-01-01 01:44:00.02 PST,212+j69.681
2025-01-01 01:45:00.02 PST,218+j71.653
2025-01-01 01:46:00.02 PST,224+j73.625
2025-01-01 01:47:00.02 PST,230+j75.597
2025-01-01 01:48:00.02 PST,230+j75.597
2025-01-01 01:49:00.02 PST,228.667+j75.159
2025-01-01 01:50:00.02 PST,237.333+j78.008
2025-01-01 01:51:00.02 PST,226+j74.283
2025-01-01 01:52:00.02 PST,234.667+j77.131
2025-01-01 01:53:00.02 PST,223.333+j73.406
2025-01-01 01:54:00.02 PST,219.333+j72.091
2025-01-01 01:55:00.02 PST,214.667+j70.558
2025-01-01 01:56:00.02 PST,210+j69.024
2025-01-01 01:57:00.02 PST,215.333+j70.777
2025-01-01 01:58:00.02 PST,210.667+j69.243
2025-01-01 01:59:00.02 PST,198+j65.079
2025-01-01 02:00:00.02 PST,196+j64.422
2025-01-01 02:01:00.02 PST,194+j63.765
2025-01-01 02:02:00.02 PST,192+j63.107
2025-01-01 02:03:00.02 PST,189.333+j62.231
2025-01-01 02:04:00.02 PST,294+j96.633
2025-01-01 02:05:00.02 PST,308.667+j101.454
2025-01-01 02:06:00.02 PST,303.333+j99.701
2025-01-01 02:07:00.02 PST,308+j101.235
2025-01-01 02:08:00.02 PST,313.333+j102.988
2025-01-01 02:09:00.02 PST,314+j103.207
2025-01-01 02:10:00.02 PST,322.667+j106.056
2025-01-01 02:11:00.02 PST,331.333+j108.904
2025-01-01 02:12:00.02 PST,330+j108.466
