#timestamp,constant_power_A
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,2690.67+j884.379
2025-01-01 00:02:00.00 PST,3098.67+j1018.48
2025-01-01 00:03:00.00 PST,3037.33+j998.323
2025-01-01 00:04:00.00 PST,3014+j990.654
2025-01-01 00:05:00.00 PST,3098+j1018.26
2025-01-01 00:06:00.00 PST,3222.67+j1059.24
2025-01-01 00:07:00.00 PST,3307.33+j1087.07
2025-01-01 00:08:00.00 PST,3412.33+j1121.58
2025-01-01 00:09:00.00 PST,3549.33+j1166.61
2025-01-01 00:10:00.02 PST,3567.67+j1172.63
2025-01-01 00:11:00.02 PST,3476+j1142.51
2025-01-01 00:12:00.02 PST,3480+j1143.82
2025-01-01 00:13:00.02 PST,3454.67+j1135.49
2025-01-01 00:14:00.02 PST,3542.33+j1164.31
2025-01-01 00:15:00.02 PST,3527.67+j1159.49
2025-01-01 00:16:00.02 PST,3484.33+j1145.25
2025-01-01 00:17:00.02 PST,3494.67+j1148.64
2025-01-01 00:18:00.02 PST,3465+j1138.89
2025-01-01 00:19:00.02 PST,3455+j1135.6
2025-01-01 00:20:00.02 PST,3323+j1092.22
2025-01-01 00:21:00.02 PST,3051+j1002.82
2025-01-01 00:22:00.02 PST,2869.67+j943.214
2025-01-01 00:23:00.02 PST,2748.67+j903.443
2025-01-01 00:24:00.02 PST,2655.33+j872.766
2025-01-01 00:25:00.02 PST,2623+j862.138
2025-01-01 00:26:00.02 PST,2620.67+j861.372
2025-01-01 00:27:00.02 PST,2655.67+j872.876
2025-01-01 00:28:00.02 PST,2670.67+j877.806
2025-01-01 00:29:00.02 PST,2627.33+j863.563
2025-01-01 00:30:00.02 PST,2665.33+j876.053
2025-01-01 00:31:00.02 PST,2653.33+j872.108
2025-01-01 00:32:00.02 PST,2689.33+j883.941
2025-01-01 00:33:00.02 PST,2938+j965.674
2025-01-01 00:34:00.02 PST,2776.33+j912.537
2025-01-01 00:35:00.02 PST,2753.67+j905.087
2025-01-01 00:36:00.02 PST,2880.67+j946.829
2025-01-01 00:37:00.02 PST,2980+j979.479
2025-01-01 00:38:00.02 PST,2999+j985.724
2025-01-01 00:39:00.02 PST,2988.67+j982.327
2025-01-01 00:40:00.02 PST,2972.67+j977.068
2025-01-01 00:41:00.02 PST,2807+j922.616
2025-01-01 00:42:00.02 PST,2954+j970.933
2025-01-01 00:43:00.02 PST,2948.67+j969.18
2025-01-01 00:44:00.02 PST,3072.33+j1009.83
2025-01-01 00:45:00.02 PST,3092.33+j1016.4
2025-01-01 00:46:00.02 PST,3052.67+j1003.36
2025-01-01 00:47:00.02 PST,3047.33+j1001.61
2025-01-01 00:48:00.02 PST,3052.33+j1003.25
2025-01-01 00:49:00.02 PST,3047+j1001.5
2025-01-01 00:50:00.02 PST,3071.67+j1009.61
2025-01-01 00:51:00.02 PST,3076.33+j1011.14
2025-01-01 00:52:00.02 PST,3053.67+j1003.69
2025-01-01 00:53:00.02 PST,2861.33+j940.475
2025-01-01 00:54:00.02 PST,2668.67+j877.148
2025-01-01 00:55:00.02 PST,2764.67+j908.702
2025-01-01 00:56:00.02 PST,2810.67+j923.822
2025-01-01 00:57:00.02 PST,2842+j934.12
2025-01-01 00:58:00.02 PST,2823.33+j927.985
2025-01-01 00:59:00.02 PST,2814.67+j925.136
2025-01-01 01:00:00.02 PST,2592.67+j852.168
2025-01-01 01:01:00.02 PST,2640.33+j867.835
2025-01-01 01:02:00.02 PST,2625+j862.796
2025-01-01 01:03:00.02 PST,2929.67+j962.935
2025-01-01 01:04:00.02 PST,2864+j941.351
2025-01-01 01:05:00.02 PST,3300.67+j1084.88
2025-01-01 01:06:00.02 PST,3167+j1040.94
2025-01-01 01:07:00.02 PST,3069.67+j1008.95
2025-01-01 01:08:00.02 PST,3082.33+j1013.11
2025-01-01 01:09:00.02 PST,3044.67+j1000.73
2025-01-01 01:10:00.02 PST,3029+j995.584
2025-01-01 01:11:00.02 PST,2933.33+j964.14
2025-01-01 01:12:00.02 PST,2912+j957.128
2025-01-01 01:13:00.02 PST,2910.33+j956.58
2025-01-01 01:14:00.02 PST,2999+j985.724
2025-01-01 01:15:00.02 PST,2994+j984.08
2025-01-01 01:16:00.02 PST,2989+j982.437
2025-01-01 01:17:00.02 PST,2996+j984.738
2025-01-01 01:18:00.02 PST,2983.33+j980.574
2025-01-01 01:19:00.02 PST,3028.33+j995.365
2025-01-01 01:20:00.02 PST,2989.56+j982.62
2025-01-01 01:21:00.02 PST,2890.78+j950.153
2025-01-01 01:22:00.02 PST,2836.67+j932.367
2025-01-01 01:23:00.02 PST,2872.56+j944.163
2025-01-01 01:24:00.02 PST,2696.11+j886.169
2025-01-01 01:25:00.02 PST,2609.67+j857.756
2025-01-01 01:26:00.02 PST,2654.67+j872.547
2025-01-01 01:27:00.02 PST,2444+j803.304
2025-01-01 01:28:00.02 PST,2393.67+j786.76
2025-01-01 01:29:00.02 PST,2343.67+j770.326
2025-01-01 01:30:00.02 PST,2473.67+j813.055
2025-01-01 01:31:00.02 PST,2583.33+j849.1
2025-01-01 01:32:00.02 PST,2593.67+j852.497
2025-01-01 01:33:00.02 PST,2574.33+j846.142
2025-01-01 01:34:00.02 PST,2705+j889.091
2025-01-01 01:35:00.02 PST,3186.33+j1047.3
2025-01-01 01:36:00.02 PST,3046+j1001.17
2025-01-01 01:37:00.02 PST,3016.33+j991.421
2025-01-01 01:38:00.02 PST,3016.33+j991.421
2025-01-01 01:39:00.02 PST,2971.67+j976.74
2025-01-01 01:40:00.02 PST,2956.67+j971.809
2025-01-01 01:41:00.02 PST,2917.33+j958.881
2025-01-01 01:42:00.02 PST,2976.67+j978.383
2025-01-01 01:43:00.02 PST,2896+j951.869
2025-01-01 01:44:00.02 PST,2875.33+j945.076
2025-01-01 01:45:00.02 PST,2884.67+j948.144
2025-01-01 01:46:00.02 PST,2913.67+j957.676
2025-01-01 01:47:00.02 PST,2905+j954.827
2025-01-01 01:48:00.02 PST,2894.33+j951.321
2025-01-01 01:49:00.02 PST,2873.33+j944.419
2025-01-01 01:50:00.02 PST,2992.67+j983.642
2025-01-01 01:51:00.02 PST,2747+j902.895
2025-01-01 01:52:00.02 PST,2701.67+j887.995
2025-01-01 01:53:00.02 PST,2696.33+j886.242
2025-01-01 01:54:00.02 PST,2950+j969.618
2025-01-01 01:55:00.02 PST,2993.67+j983.971
2025-01-01 01:56:00.02 PST,2962.67+j973.782
2025-01-01 01:57:00.02 PST,2701.67+j887.995
2025-01-01 01:58:00.02 PST,2681+j881.202
2025-01-01 01:59:00.02 PST,2640.67+j867.945
2025-01-01 02:00:00.02 PST,2650.33+j871.122
2025-01-01 02:01:00.02 PST,2492+j819.081
2025-01-01 02:02:00.02 PST,2490.33+j818.533
2025-01-01 02:03:00.02 PST,2591.67+j851.84
2025-01-01 02:04:00.02 PST,2582+j848.662
2025-01-01 02:05:00.02 PST,2702+j888.104
2025-01-01 02:06:00.02 PST,2720.67+j894.24
2025-01-01 02:07:00.02 PST,3348.67+j1100.65
2025-01-01 02:08:00.02 PST,2666.33+j876.381
2025-01-01 02:09:00.02 PST,2646+j869.698
2025-01-01 02:10:00.02 PST,3025.67+j994.489
2025-01-01 02:11:00.02 PST,2885.33+j948.363
2025-01-01 02:12:00.02 PST,3066+j1007.74
2025-01-01 02:13:00.02 PST,2747+j902.895
2025-01-01 02:14:00.02 PST,2727.67+j896.541
2025-01-01 02:15:00.02 PST,2748.33+j903.333
2025-01-01 02:16:00.02 PST,2759+j906.839
2025-01-01 02:17:00.02 PST,2889+j949.568
2025-01-01 02:18:00.02 PST,2909+j956.142
2025-01-01 02:19:00.02 PST,2899+j952.855
2025-01-01 02:20:00.02 PST,2889.33+j949.678
2025-01-01 02:21:00.02 PST,2909.67+j956.361
2025-01-01 02:22:00.02 PST,2947.33+j968.742
2025-01-01 02:23:00.02 PST,2975+j977.835
2025-01-01 02:24:00.02 PST,2952+j970.275
2025-01-01 02:25:00.02 PST,2939+j966.003
2025-01-01 02:26:00.02 PST,2976+j978.164
2025-01-01 02:27:00.02 PST,2941.33+j966.769
2025-01-01 02:28:00.02 PST,2946.33+j968.413
2025-01-01 02:29:00.02 PST,2921.67+j960.306
2025-01-01 02:30:00.02 PST,2947.33+j968.742
2025-01-01 02:31:00.02 PST,2753+j904.867
2025-01-01 02:32:00.02 PST,2714+j892.049
2025-01-01 02:33:00.02 PST,2635+j866.083
2025-01-01 02:34:00.02 PST,2626.33+j863.234
2025-01-01 02:35:00.02 PST,2438+j801.332
2025-01-01 02:36:00.02 PST,2379.67+j782.159
2025-01-01 02:37:00.02 PST,2380+j782.268
2025-01-01 02:38:00.02 PST,2390.33+j785.664
2025-01-01 02:39:00.02 PST,2649.67+j870.903
2025-01-01 02:40:00.02 PST,2649+j870.684
2025-01-01 02:41:00.02 PST,2628.33+j863.891
2025-01-01 02:42:00.02 PST,2649+j870.684
2025-01-01 02:43:00.02 PST,2619.67+j861.043
2025-01-01 02:44:00.02 PST,2630.33+j864.549
2025-01-01 02:45:00.02 PST,3041+j999.528
2025-01-01 02:46:00.02 PST,2927.33+j962.168
2025-01-01 02:47:00.02 PST,2912+j957.128
2025-01-01 02:48:00.02 PST,2877+j945.624
2025-01-01 02:49:00.02 PST,2871.67+j943.871
2025-01-01 02:50:00.02 PST,2816.33+j925.684
2025-01-01 02:51:00.02 PST,2871.67+j943.871
2025-01-01 02:52:00.02 PST,2887.67+j949.13
2025-01-01 02:53:00.02 PST,2793.67+j918.234
2025-01-01 02:54:00.02 PST,2779.67+j913.632
2025-01-01 02:55:00.02 PST,2535.67+j833.433
2025-01-01 02:56:00.02 PST,2515.33+j826.75
2025-01-01 02:57:00.02 PST,2494.67+j819.957
2025-01-01 02:58:00.02 PST,2764.67+j908.702
2025-01-01 02:59:00.02 PST,2855.67+j938.612
2025-01-01 03:00:00.02 PST,2766.67+j909.359
2025-01-01 03:01:00.02 PST,2763.67+j908.373
2025-01-01 03:02:00.02 PST,2655.33+j872.766
2025-01-01 03:03:00.02 PST,2627.33+j863.563
2025-01-01 03:04:00.02 PST,2616+j859.838
2025-01-01 03:05:00.02 PST,2582.67+j848.882
2025-01-01 03:06:00.02 PST,2581.33+j848.443
2025-01-01 03:07:00.02 PST,2585.33+j849.758
2025-01-01 03:08:00.02 PST,2588.67+j850.854
2025-01-01 03:09:00.02 PST,2574+j846.033
2025-01-01 03:10:00.02 PST,2709.33+j890.515
2025-01-01 03:11:00.02 PST,2624+j862.467
2025-01-01 03:12:00.02 PST,2609.33+j857.646
2025-01-01 03:13:00.02 PST,2384.67+j783.802
2025-01-01 03:14:00.02 PST,2768.67+j910.017
2025-01-01 03:15:00.02 PST,2633+j865.425
2025-01-01 03:16:00.02 PST,2858+j939.379
2025-01-01 03:17:00.02 PST,2863+j941.023
2025-01-01 03:18:00.02 PST,2838+j932.805
2025-01-01 03:19:00.02 PST,2813+j924.588
2025-01-01 03:20:00.02 PST,2838+j932.805
2025-01-01 03:21:00.02 PST,2833+j931.162
2025-01-01 03:22:00.02 PST,2748+j903.224
2025-01-01 03:23:00.02 PST,2811.67+j924.15
2025-01-01 03:24:00.02 PST,2796+j919.001
2025-01-01 03:25:00.02 PST,2510.33+j825.107
2025-01-01 03:26:00.02 PST,2479+j814.808
2025-01-01 03:27:00.02 PST,2716.67+j892.925
2025-01-01 03:28:00.02 PST,2334.33+j767.258
2025-01-01 03:29:00.02 PST,2253+j740.525
2025-01-01 03:30:00.02 PST,2231.67+j733.513
2025-01-01 03:31:00.02 PST,2416.33+j794.21
2025-01-01 03:32:00.02 PST,2441.33+j802.427
2025-01-01 03:33:00.02 PST,2337+j768.135
2025-01-01 03:34:00.02 PST,2512+j825.654
2025-01-01 03:35:00.02 PST,2437.33+j801.113
2025-01-01 03:36:00.02 PST,2702.33+j888.214
2025-01-01 03:37:00.02 PST,2615.67+j859.728
2025-01-01 03:38:00.02 PST,2705.33+j889.2
2025-01-01 03:39:00.02 PST,2526+j830.256
2025-01-01 03:40:00.02 PST,2575.33+j846.471
2025-01-01 03:41:00.02 PST,2466.33+j810.644
2025-01-01 03:42:00.02 PST,2457+j807.577
2025-01-01 03:43:00.02 PST,2448.33+j804.728
2025-01-01 03:44:00.02 PST,2448+j804.619
2025-01-01 03:45:00.02 PST,2538+j834.2
2025-01-01 03:46:00.02 PST,2528+j830.913
2025-01-01 03:47:00.02 PST,2378+j781.611
2025-01-01 03:48:00.02 PST,2298+j755.316
2025-01-01 03:49:00.02 PST,2468+j811.192
2025-01-01 03:50:00.02 PST,2488+j817.766
2025-01-01 03:51:00.02 PST,2808+j922.945
2025-01-01 03:52:00.02 PST,2888+j949.24
2025-01-01 03:53:00.02 PST,2608+j857.208
2025-01-01 03:54:00.02 PST,2608+j857.208
2025-01-01 03:55:00.02 PST,2477.67+j814.37
2025-01-01 03:56:00.02 PST,2478.67+j814.698
2025-01-01 03:57:00.02 PST,2349.33+j772.188
2025-01-01 03:58:00.02 PST,2350.33+j772.517
2025-01-01 03:59:00.02 PST,2510.67+j825.216
2025-01-01 04:00:00.02 PST,2571.33+j845.156
2025-01-01 04:01:00.02 PST,2657+j873.314
2025-01-01 04:02:00.02 PST,2693+j885.146
2025-01-01 04:03:00.02 PST,2669+j877.258
2025-01-01 04:04:00.02 PST,2675+j879.23
2025-01-01 04:05:00.02 PST,3039.57+j999.059
2025-01-01 04:06:00.02 PST,2927.48+j962.215
2025-01-01 04:07:00.02 PST,2965.05+j974.564
2025-01-01 04:08:00.02 PST,2663.29+j875.38
2025-01-01 04:09:00.02 PST,2650.52+j871.185
2025-01-01 04:10:00.02 PST,2668.1+j876.96
2025-01-01 04:11:00.02 PST,2657+j873.314
2025-01-01 04:12:00.02 PST,2617.33+j860.276
2025-01-01 04:13:00.02 PST,2488+j817.766
2025-01-01 04:14:00.02 PST,2547.33+j837.268
2025-01-01 04:15:00.02 PST,2609+j857.537
2025-01-01 04:16:00.02 PST,2599.33+j854.359
2025-01-01 04:17:00.02 PST,2599.67+j854.469
2025-01-01 04:18:00.02 PST,2802.67+j921.192
2025-01-01 04:19:00.02 PST,2550.67+j838.364
2025-01-01 04:20:00.02 PST,4149+j1363.71
2025-01-01 04:21:00.02 PST,2498+j821.053
2025-01-01 04:22:00.02 PST,2483.67+j816.342
2025-01-01 04:23:00.02 PST,2459.33+j808.344
2025-01-01 04:24:00.02 PST,2466+j810.535
2025-01-01 04:25:00.02 PST,2762.67+j908.045
2025-01-01 04:26:00.02 PST,2759.33+j906.949
2025-01-01 04:27:00.02 PST,2738+j899.937
2025-01-01 04:28:00.02 PST,2946.67+j968.523
2025-01-01 04:29:00.02 PST,3072.67+j1009.94
2025-01-01 04:30:00.02 PST,3121.67+j1026.04
2025-01-01 04:31:00.02 PST,3079.67+j1012.24
2025-01-01 04:32:00.02 PST,3369.67+j1107.56
2025-01-01 04:33:00.02 PST,3459.67+j1137.14
2025-01-01 04:34:00.02 PST,3460+j1137.25
2025-01-01 04:35:00.02 PST,3470.33+j1140.64
2025-01-01 04:36:00.02 PST,3367.33+j1106.79
2025-01-01 04:37:00.02 PST,3364.33+j1105.8
2025-01-01 04:38:00.02 PST,3491.67+j1147.66
2025-01-01 04:39:00.02 PST,5401+j1775.22
2025-01-01 04:40:00.02 PST,3809.67+j1252.18
2025-01-01 04:41:00.02 PST,3791.33+j1246.15
2025-01-01 04:42:00.02 PST,3943+j1296
2025-01-01 04:43:00.02 PST,3855+j1267.08
2025-01-01 04:44:00.02 PST,3885+j1276.94
2025-01-01 04:45:00.02 PST,3905.67+j1283.73
2025-01-01 04:46:00.02 PST,4406+j1448.18
2025-01-01 04:47:00.02 PST,4926+j1619.1
2025-01-01 04:48:00.02 PST,4566.33+j1500.88
2025-01-01 04:49:00.02 PST,5043.33+j1657.66
2025-01-01 04:50:00.02 PST,4560+j1498.8
2025-01-01 04:51:00.02 PST,4562.33+j1499.57
2025-01-01 04:52:00.02 PST,4594.67+j1510.19
2025-01-01 04:53:00.02 PST,4652.33+j1529.15
2025-01-01 04:54:00.02 PST,4802.33+j1578.45
2025-01-01 04:55:00.02 PST,4912.33+j1614.61
2025-01-01 04:56:00.02 PST,4512.33+j1483.13
2025-01-01 04:57:00.02 PST,3471.67+j1141.08
2025-01-01 04:58:00.02 PST,3481+j1144.15
2025-01-01 04:59:00.02 PST,3510+j1153.68
2025-01-01 05:00:00.02 PST,3510.33+j1153.79
2025-01-01 05:01:00.02 PST,3510+j1153.68
2025-01-01 05:02:00.02 PST,4205.67+j1382.34
2025-01-01 05:03:00.02 PST,4181.67+j1374.45
2025-01-01 05:04:00.02 PST,5956.67+j1957.86
2025-01-01 05:05:00.02 PST,6042.33+j1986.02
2025-01-01 05:06:00.02 PST,4780.33+j1571.22
2025-01-01 05:07:00.02 PST,4863.67+j1598.61
2025-01-01 05:08:00.02 PST,4407+j1448.51
2025-01-01 05:09:00.02 PST,4973+j1634.55
2025-01-01 05:10:00.02 PST,4335.67+j1425.07
2025-01-01 05:11:00.02 PST,5074+j1667.74
2025-01-01 05:12:00.02 PST,6497+j2135.46
2025-01-01 05:13:00.02 PST,5877.67+j1931.9
2025-01-01 05:14:00.02 PST,6007.33+j1974.52
2025-01-01 05:15:00.02 PST,5368.67+j1764.6
2025-01-01 05:16:00.02 PST,5567+j1829.78
2025-01-01 05:17:00.02 PST,5607.33+j1843.04
2025-01-01 05:18:00.02 PST,6379.67+j2096.89
2025-01-01 05:19:00.02 PST,6531+j2146.64
2025-01-01 05:20:00.02 PST,6708.33+j2204.92
2025-01-01 05:21:00.02 PST,5040+j1656.57
2025-01-01 05:22:00.02 PST,4921.67+j1617.67
2025-01-01 05:23:00.02 PST,5053.67+j1661.06
2025-01-01 05:24:00.02 PST,4882.33+j1604.75
2025-01-01 05:25:00.02 PST,4921.33+j1617.56
2025-01-01 05:26:00.02 PST,4870.33+j1600.8
2025-01-01 05:27:00.02 PST,4579.33+j1505.15
2025-01-01 05:28:00.02 PST,3678.33+j1209.01
2025-01-01 05:29:00.02 PST,5442.67+j1788.92
2025-01-01 05:30:00.02 PST,4217.33+j1386.17
2025-01-01 05:31:00.02 PST,4253.33+j1398
2025-01-01 05:32:00.02 PST,5590.67+j1837.56
2025-01-01 05:33:00.02 PST,5025.33+j1651.75
2025-01-01 05:34:00.02 PST,3836+j1260.83
2025-01-01 05:35:00.02 PST,5036+j1655.25
2025-01-01 05:36:00.02 PST,5168+j1698.64
2025-01-01 05:37:00.02 PST,4552.33+j1496.28
2025-01-01 05:38:00.02 PST,3460.67+j1137.47
2025-01-01 05:39:00.02 PST,5991+j1969.15
2025-01-01 05:40:00.02 PST,6133.33+j2015.93
2025-01-01 05:41:00.02 PST,6956.33+j2286.44
2025-01-01 05:42:00.02 PST,6893+j2265.62
2025-01-01 05:43:00.02 PST,5747.67+j1889.17
2025-01-01 05:44:00.02 PST,5737.67+j1885.88
2025-01-01 05:45:00.02 PST,5750.33+j1890.04
2025-01-01 05:46:00.02 PST,3934+j1293.04
2025-01-01 05:47:00.02 PST,3961.33+j1302.03
2025-01-01 05:48:00.02 PST,3123+j1026.48
2025-01-01 05:49:00.02 PST,4301.33+j1413.78
2025-01-01 05:50:00.02 PST,4941.67+j1624.25
2025-01-01 05:51:00.02 PST,4841+j1591.16
2025-01-01 05:52:00.02 PST,4744+j1559.28
2025-01-01 05:53:00.02 PST,4557.33+j1497.92
2025-01-01 05:54:00.02 PST,3922.67+j1289.32
2025-01-01 05:55:00.02 PST,4617.33+j1517.64
2025-01-01 05:56:00.02 PST,2672.33+j878.353
2025-01-01 05:57:00.02 PST,4487+j1474.81
2025-01-01 05:58:00.02 PST,4711.67+j1548.65
2025-01-01 05:59:00.02 PST,2616+j859.838
2025-01-01 06:00:00.02 PST,2594.33+j852.716
2025-01-01 06:01:00.02 PST,2628.33+j863.891
2025-01-01 06:02:00.02 PST,2949+j969.289
2025-01-01 06:03:00.02 PST,2857+j939.05
2025-01-01 06:04:00.02 PST,4694.67+j1543.06
2025-01-01 06:05:00.02 PST,4745.67+j1559.83
2025-01-01 06:06:00.02 PST,2626.67+j863.344
2025-01-01 06:07:00.02 PST,2574.67+j846.252
2025-01-01 06:08:00.02 PST,2642+j868.383
2025-01-01 06:09:00.02 PST,2805.67+j922.178
2025-01-01 06:10:00.02 PST,2579.67+j847.896
2025-01-01 06:11:00.02 PST,2522.67+j829.161
2025-01-01 06:12:00.02 PST,2485+j816.78
2025-01-01 06:13:00.02 PST,2609.67+j857.756
2025-01-01 06:14:00.02 PST,2488.33+j817.876
2025-01-01 06:15:00.02 PST,2598+j853.921
2025-01-01 06:16:00.02 PST,2867.33+j942.447
2025-01-01 06:17:00.02 PST,2772.67+j911.332
2025-01-01 06:18:00.02 PST,2657.33+j873.423
2025-01-01 06:19:00.02 PST,2641+j868.055
2025-01-01 06:20:00.02 PST,2657.67+j873.533
2025-01-01 06:21:00.02 PST,2378.33+j781.72
2025-01-01 06:22:00.02 PST,2423.33+j796.511
2025-01-01 06:23:00.02 PST,2580.67+j848.224
2025-01-01 06:24:00.02 PST,2562.67+j842.308
2025-01-01 06:25:00.02 PST,6384.33+j2098.43
2025-01-01 06:26:00.02 PST,6371+j2094.05
2025-01-01 06:27:00.02 PST,6371.67+j2094.27
2025-01-01 06:28:00.02 PST,6602.33+j2170.08
2025-01-01 06:29:00.02 PST,6695.67+j2200.76
2025-01-01 06:30:00.02 PST,6808.67+j2237.9
2025-01-01 06:31:00.02 PST,6627+j2178.19
2025-01-01 06:32:00.02 PST,6595.67+j2167.89
2025-01-01 06:33:00.02 PST,6509.33+j2139.51
2025-01-01 06:34:00.02 PST,6543+j2150.58
2025-01-01 06:35:00.02 PST,6473.33+j2127.68
2025-01-01 06:36:00.02 PST,4593.67+j1509.87
2025-01-01 06:37:00.02 PST,2854+j938.064
2025-01-01 06:38:00.02 PST,2724.33+j895.445
2025-01-01 06:39:00.02 PST,2729+j896.979
2025-01-01 06:40:00.02 PST,2797+j919.329
2025-01-01 06:41:00.02 PST,2959+j972.576
2025-01-01 06:42:00.02 PST,2763.33+j908.264
2025-01-01 06:43:00.02 PST,2828.33+j929.628
2025-01-01 06:44:00.02 PST,2794+j918.343
2025-01-01 06:45:00.02 PST,2799.67+j920.206
2025-01-01 06:46:00.02 PST,2790+j917.029
2025-01-01 06:47:00.02 PST,2770.33+j910.564
2025-01-01 06:48:00.02 PST,2980.67+j979.698
2025-01-01 06:49:00.02 PST,4025+j1322.95
2025-01-01 06:50:00.02 PST,4589.33+j1508.44
2025-01-01 06:51:00.02 PST,4649+j1528.05
2025-01-01 06:52:00.02 PST,2818.67+j926.451
2025-01-01 06:53:00.02 PST,3998.33+j1314.19
2025-01-01 06:54:00.02 PST,3918+j1287.78
2025-01-01 06:55:00.02 PST,3847.67+j1264.67
2025-01-01 06:56:00.02 PST,3799.67+j1248.89
2025-01-01 06:57:00.02 PST,3804+j1250.31
2025-01-01 06:58:00.02 PST,2738.67+j900.156
2025-01-01 06:59:00.02 PST,3763.33+j1236.95
2025-01-01 07:00:00.02 PST,2667.67+j876.82
2025-01-01 07:01:00.02 PST,2729.67+j897.198
2025-01-01 07:02:00.02 PST,2816.33+j925.684
2025-01-01 07:03:00.02 PST,2823+j927.875
2025-01-01 07:04:00.02 PST,2880.33+j946.72
2025-01-01 07:05:00.02 PST,2857.33+j939.16
2025-01-01 07:06:00.02 PST,2877+j945.624
2025-01-01 07:07:00.02 PST,2847.33+j935.873
2025-01-01 07:08:00.02 PST,2828+j929.519
2025-01-01 07:09:00.02 PST,2755.33+j905.634
2025-01-01 07:10:00.02 PST,2755+j905.525
2025-01-01 07:11:00.02 PST,4604.67+j1513.48
2025-01-01 07:12:00.02 PST,6384.33+j2098.43
2025-01-01 07:13:00.02 PST,7324.33+j2407.39
2025-01-01 07:14:00.02 PST,6395.67+j2102.15
2025-01-01 07:15:00.02 PST,4857+j1596.42
2025-01-01 07:16:00.02 PST,4909.67+j1613.73
2025-01-01 07:17:00.02 PST,4963+j1631.26
2025-01-01 07:18:00.02 PST,5006.33+j1645.5
2025-01-01 07:19:00.02 PST,4978+j1636.19
2025-01-01 07:20:00.02 PST,4959.67+j1630.16
2025-01-01 07:21:00.02 PST,5000+j1643.42
2025-01-01 07:22:00.02 PST,4999.67+j1643.31
2025-01-01 07:23:00.02 PST,5059.67+j1663.03
2025-01-01 07:24:00.02 PST,5020.33+j1650.1
2025-01-01 07:25:00.02 PST,5061+j1663.47
2025-01-01 07:26:00.02 PST,5122.67+j1683.74
2025-01-01 07:27:00.02 PST,5114+j1680.89
2025-01-01 07:28:00.02 PST,5125.67+j1684.73
2025-01-01 07:29:00.02 PST,3386.33+j1113.03
2025-01-01 07:30:00.02 PST,3267.33+j1073.92
2025-01-01 07:31:00.02 PST,3387+j1113.25
