#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,2326.33+j764.629
2025-01-01 00:02:00.00 PST,2323.67+j763.752
2025-01-01 00:03:00.00 PST,2325.67+j764.41
2025-01-01 00:04:00.00 PST,2317.67+j761.78
2025-01-01 00:05:00.00 PST,2310+j759.26
2025-01-01 00:06:00.00 PST,2306+j757.946
2025-01-01 00:07:00.00 PST,2330.33+j765.943
2025-01-01 00:08:00.00 PST,2960.67+j973.124
2025-01-01 00:09:00.00 PST,2977.33+j978.602
2025-01-01 00:10:00.02 PST,2983+j980.465
2025-01-01 00:11:00.02 PST,2358.33+j775.147
2025-01-01 00:12:00.02 PST,2352.33+j773.174
2025-01-01 00:13:00.02 PST,2346.33+j771.202
2025-01-01 00:14:00.02 PST,2340.33+j769.23
2025-01-01 00:15:00.02 PST,2334.33+j767.258
2025-01-01 00:16:00.02 PST,2329.33+j765.615
2025-01-01 00:17:00.02 PST,2325+j764.191
2025-01-01 00:18:00.02 PST,2310.67+j759.48
2025-01-01 00:19:00.02 PST,2294.33+j754.111
2025-01-01 00:20:00.02 PST,2277.67+j748.633
2025-01-01 00:21:00.02 PST,2268.33+j745.565
2025-01-01 00:22:00.02 PST,2247.67+j738.772
2025-01-01 00:23:00.02 PST,2237.67+j735.486
2025-01-01 00:24:00.02 PST,2229.67+j732.856
2025-01-01 00:25:00.02 PST,2221.33+j730.117
2025-01-01 00:26:00.02 PST,2831.33+j930.614
2025-01-01 00:27:00.02 PST,2840.67+j933.682
2025-01-01 00:28:00.02 PST,2214.67+j727.926
2025-01-01 00:29:00.02 PST,2218.67+j729.241
2025-01-01 00:30:00.02 PST,2222.67+j730.555
2025-01-01 00:31:00.02 PST,2225.67+j731.541
2025-01-01 00:32:00.02 PST,2272.33+j746.88
2025-01-01 00:33:00.02 PST,2312.67+j760.137
2025-01-01 00:34:00.02 PST,2353.33+j773.503
2025-01-01 00:35:00.02 PST,2388.67+j785.117
2025-01-01 00:36:00.02 PST,2539+j834.529
2025-01-01 00:37:00.02 PST,2539+j834.529
2025-01-01 00:38:00.02 PST,2540+j834.858
2025-01-01 00:39:00.02 PST,2550+j838.144
2025-01-01 00:40:00.02 PST,2559.67+j841.322
2025-01-01 00:41:00.02 PST,2554.67+j839.678
2025-01-01 00:42:00.02 PST,2571.67+j845.266
2025-01-01 00:43:00.02 PST,2594+j852.607
2025-01-01 00:44:00.02 PST,3212.67+j1055.95
2025-01-01 00:45:00.02 PST,3221.33+j1058.8
2025-01-01 00:46:00.02 PST,3198.67+j1051.35
2025-01-01 00:47:00.02 PST,2522.11+j828.978
2025-01-01 00:48:00.02 PST,2480.56+j815.319
2025-01-01 00:49:00.02 PST,2458.67+j808.125
2025-01-01 00:50:00.02 PST,2436.78+j800.93
2025-01-01 00:51:00.02 PST,2455.56+j807.102
2025-01-01 00:52:00.02 PST,2421.67+j795.963
2025-01-01 00:53:00.02 PST,2385+j783.912
2025-01-01 00:54:00.02 PST,2350.33+j772.517
2025-01-01 00:55:00.02 PST,2315.67+j761.123
2025-01-01 00:56:00.02 PST,2218.33+j729.131
2025-01-01 00:57:00.02 PST,2159.67+j709.848
2025-01-01 00:58:00.02 PST,2101+j690.565
2025-01-01 00:59:00.02 PST,2040.67+j670.735
2025-01-01 01:00:00.02 PST,1980+j650.795
2025-01-01 01:01:00.02 PST,1962.67+j645.097
2025-01-01 01:02:00.02 PST,2579+j847.676
2025-01-01 01:03:00.02 PST,2585+j849.648
2025-01-01 01:04:00.02 PST,2571.33+j845.156
2025-01-01 01:05:00.02 PST,1947.33+j640.057
2025-01-01 01:06:00.02 PST,1944.33+j639.071
2025-01-01 01:07:00.02 PST,1936+j636.332
2025-01-01 01:08:00.02 PST,1942.33+j638.414
2025-01-01 01:09:00.02 PST,1932.67+j635.237
2025-01-01 01:10:00.02 PST,1922.33+j631.84
2025-01-01 01:11:00.02 PST,1912.67+j628.663
2025-01-01 01:12:00.02 PST,1886.67+j620.117
2025-01-01 01:13:00.02 PST,1845+j606.422
2025-01-01 01:14:00.02 PST,1829.67+j601.382
2025-01-01 01:15:00.02 PST,1824+j599.52
2025-01-01 01:16:00.02 PST,1797.33+j590.755
2025-01-01 01:17:00.02 PST,1776+j583.743
2025-01-01 01:18:00.02 PST,1681.33+j552.627
2025-01-01 01:19:00.02 PST,1656.67+j544.52
2025-01-01 01:20:00.02 PST,2241.67+j736.8
2025-01-01 01:21:00.02 PST,2227.67+j732.199
2025-01-01 01:22:00.02 PST,2229+j732.637
2025-01-01 01:23:00.02 PST,1614.33+j530.606
2025-01-01 01:24:00.02 PST,1619.67+j532.359
2025-01-01 01:25:00.02 PST,1625+j534.112
2025-01-01 01:26:00.02 PST,1634+j537.07
2025-01-01 01:27:00.02 PST,1623.33+j533.564
2025-01-01 01:28:00.02 PST,1618.67+j532.03
2025-01-01 01:29:00.02 PST,1614.33+j530.606
2025-01-01 01:30:00.02 PST,1609.33+j528.962
2025-01-01 01:31:00.02 PST,1594+j523.922
2025-01-01 01:32:00.02 PST,1613+j530.167
2025-01-01 01:33:00.02 PST,1614+j530.496
2025-01-01 01:34:00.02 PST,1637+j538.056
2025-01-01 01:35:00.02 PST,1660+j545.616
2025-01-01 01:36:00.02 PST,1670.33+j549.012
2025-01-01 01:37:00.02 PST,1725.33+j567.09
2025-01-01 01:38:00.02 PST,1776+j583.743
2025-01-01 01:39:00.02 PST,2428.67+j798.264
2025-01-01 01:40:00.02 PST,2481.33+j815.575
2025-01-01 01:41:00.02 PST,1904+j625.815
2025-01-01 01:42:00.02 PST,1888.67+j620.775
2025-01-01 01:43:00.02 PST,2106+j692.209
2025-01-01 01:44:00.02 PST,2071.33+j680.814
2025-01-01 01:45:00.02 PST,2036.67+j669.42
2025-01-01 01:46:00.02 PST,2002+j658.026
2025-01-01 01:47:00.02 PST,2025.78+j665.841
2025-01-01 01:48:00.02 PST,2044.89+j672.123
2025-01-01 01:49:00.02 PST,1842+j605.436
2025-01-01 01:50:00.02 PST,1849.11+j607.773
2025-01-01 01:51:00.02 PST,1881.56+j618.438
2025-01-01 01:52:00.02 PST,2023.33+j665.037
2025-01-01 01:53:00.02 PST,2162.33+j710.724
2025-01-01 01:54:00.02 PST,2297.33+j755.097
2025-01-01 01:55:00.02 PST,2432.33+j799.469
2025-01-01 01:56:00.02 PST,2562+j842.089
2025-01-01 01:57:00.02 PST,2439.33+j801.77
2025-01-01 01:58:00.02 PST,2316+j761.232
2025-01-01 01:59:00.02 PST,2178.67+j716.093
2025-01-01 02:00:00.02 PST,2041.33+j670.954
2025-01-01 02:01:00.02 PST,1904+j625.815
2025-01-01 02:02:00.02 PST,1896+j623.185
2025-01-01 02:03:00.02 PST,1889.33+j620.994
2025-01-01 02:04:00.02 PST,1878.67+j617.488
2025-01-01 02:05:00.02 PST,1977.67+j650.028
2025-01-01 02:06:00.02 PST,1945.33+j639.4
2025-01-01 02:07:00.02 PST,1925.33+j632.826
2025-01-01 02:08:00.02 PST,1899+j624.171
2025-01-01 02:09:00.02 PST,1883+j618.912
2025-01-01 02:10:00.02 PST,1856.67+j610.257
2025-01-01 02:11:00.02 PST,1852+j608.723
2025-01-01 02:12:00.02 PST,2002.67+j658.245
2025-01-01 02:13:00.02 PST,2138.67+j702.946
2025-01-01 02:14:00.02 PST,2246.67+j738.444
2025-01-01 02:15:00.02 PST,2354.67+j773.942
2025-01-01 02:16:00.02 PST,2469.33+j811.631
2025-01-01 02:17:00.02 PST,2302+j756.631
2025-01-01 02:18:00.02 PST,2122.67+j697.687
2025-01-01 02:19:00.02 PST,1951.33+j641.372
2025-01-01 02:20:00.02 PST,1790.33+j588.454
2025-01-01 02:21:00.02 PST,1622.67+j533.345
2025-01-01 02:22:00.02 PST,1603+j526.881
2025-01-01 02:23:00.02 PST,1586+j521.293
2025-01-01 02:24:00.02 PST,1589+j522.279
2025-01-01 02:25:00.02 PST,1591.67+j523.156
