#timestamp,constant_power_A
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,509.667+j167.519
2025-01-01 00:02:00.00 PST,498+j163.685
2025-01-01 00:03:00.00 PST,543.667+j178.695
2025-01-01 00:04:00.00 PST,543.667+j178.695
2025-01-01 00:05:00.00 PST,537+j176.503
2025-01-01 00:06:00.00 PST,544.667+j179.023
2025-01-01 00:07:00.00 PST,551+j181.105
2025-01-01 00:08:00.00 PST,536.333+j176.284
2025-01-01 00:09:00.00 PST,544+j178.804
2025-01-01 00:10:00.02 PST,543+j178.475
2025-01-01 00:11:00.02 PST,544.333+j178.914
2025-01-01 00:12:00.02 PST,533+j175.189
2025-01-01 00:13:00.02 PST,549.333+j180.557
2025-01-01 00:14:00.02 PST,656.333+j215.726
2025-01-01 00:15:00.02 PST,616.667+j202.689
2025-01-01 00:16:00.02 PST,624+j205.099
2025-01-01 00:17:00.02 PST,620.667+j204.003
2025-01-01 00:18:00.02 PST,617+j202.798
2025-01-01 00:19:00.02 PST,612.667+j201.374
2025-01-01 00:20:00.02 PST,601+j197.539
2025-01-01 00:21:00.02 PST,582+j191.294
2025-01-01 00:22:00.02 PST,574.333+j188.774
2025-01-01 00:23:00.02 PST,562.333+j184.83
2025-01-01 00:24:00.02 PST,561.333+j184.501
2025-01-01 00:25:00.02 PST,561.333+j184.501
2025-01-01 00:26:00.02 PST,561.333+j184.501
2025-01-01 00:27:00.02 PST,561.333+j184.501
2025-01-01 00:28:00.02 PST,559.667+j183.954
2025-01-01 00:29:00.02 PST,561+j184.392
2025-01-01 00:30:00.02 PST,563+j185.049
2025-01-01 00:31:00.02 PST,559.667+j183.954
2025-01-01 00:32:00.02 PST,483+j158.754
2025-01-01 00:33:00.02 PST,479+j157.44
2025-01-01 00:34:00.02 PST,479.667+j157.659
2025-01-01 00:35:00.02 PST,479+j157.44
2025-01-01 00:36:00.02 PST,479.667+j157.659
2025-01-01 00:37:00.02 PST,479+j157.44
2025-01-01 00:38:00.02 PST,469+j154.153
2025-01-01 00:39:00.02 PST,479.667+j157.659
2025-01-01 00:40:00.02 PST,481.667+j158.316
2025-01-01 00:41:00.02 PST,479+j157.44
2025-01-01 00:42:00.02 PST,570+j187.35
2025-01-01 00:43:00.02 PST,579+j190.308
2025-01-01 00:44:00.02 PST,564+j185.378
2025-01-01 00:45:00.02 PST,563.667+j185.268
2025-01-01 00:46:00.02 PST,563.667+j185.268
2025-01-01 00:47:00.02 PST,567.667+j186.583
2025-01-01 00:48:00.02 PST,569+j187.021
2025-01-01 00:49:00.02 PST,541.333+j177.928
2025-01-01 00:50:00.02 PST,537+j176.503
2025-01-01 00:51:00.02 PST,527.333+j173.326
2025-01-01 00:52:00.02 PST,536.333+j176.284
2025-01-01 00:53:00.02 PST,532.667+j175.079
2025-01-01 00:54:00.02 PST,533+j175.189
2025-01-01 00:55:00.02 PST,536+j176.175
2025-01-01 00:56:00.02 PST,531+j174.531
2025-01-01 00:57:00.02 PST,532+j174.86
2025-01-01 00:58:00.02 PST,527.667+j173.436
