#timestamp,constant_power_A
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,1016+j333.943
2025-01-01 00:02:00.00 PST,1014.67+j333.505
2025-01-01 00:03:00.00 PST,1013.33+j333.066
2025-01-01 00:04:00.00 PST,1012+j332.628
2025-01-01 00:05:00.00 PST,1012.67+j332.848
2025-01-01 00:06:00.00 PST,1013.33+j333.066
2025-01-01 00:07:00.00 PST,1012.67+j332.848
2025-01-01 00:08:00.00 PST,1012+j332.628
2025-01-01 00:09:00.00 PST,1011.33+j332.409
2025-01-01 00:10:00.02 PST,1010.67+j332.19
2025-01-01 00:11:00.02 PST,1010+j331.971
2025-01-01 00:12:00.02 PST,1010+j331.971
2025-01-01 00:13:00.02 PST,1010+j331.971
2025-01-01 00:14:00.02 PST,1010+j331.971
2025-01-01 00:15:00.02 PST,1010+j331.971
2025-01-01 00:16:00.02 PST,1010+j331.971
2025-01-01 00:17:00.02 PST,1010.67+j332.19
2025-01-01 00:18:00.02 PST,1011.33+j332.409
2025-01-01 00:19:00.02 PST,1012+j332.628
2025-01-01 00:20:00.02 PST,996+j327.369
2025-01-01 00:21:00.02 PST,980+j322.11
2025-01-01 00:22:00.02 PST,963.333+j316.632
2025-01-01 00:23:00.02 PST,944.667+j310.497
2025-01-01 00:24:00.02 PST,926+j304.361
2025-01-01 00:25:00.02 PST,907.333+j298.226
2025-01-01 00:26:00.02 PST,911.333+j299.541
2025-01-01 00:27:00.02 PST,915.333+j300.855
2025-01-01 00:28:00.02 PST,921.333+j302.828
2025-01-01 00:29:00.02 PST,927.333+j304.8
2025-01-01 00:30:00.02 PST,933.333+j306.772
2025-01-01 00:31:00.02 PST,937.333+j308.086
2025-01-01 00:32:00.02 PST,946.667+j311.154
2025-01-01 00:33:00.02 PST,954+j313.565
2025-01-01 00:34:00.02 PST,961.333+j315.975
2025-01-01 00:35:00.02 PST,968.667+j318.385
2025-01-01 00:36:00.02 PST,1364+j448.325
2025-01-01 00:37:00.02 PST,1754+j576.512
2025-01-01 00:38:00.02 PST,2132+j700.755
2025-01-01 00:39:00.02 PST,2510+j824.997
2025-01-01 00:40:00.02 PST,2888+j949.24
2025-01-01 00:41:00.02 PST,2870+j943.323
2025-01-01 00:42:00.02 PST,2851.33+j937.188
2025-01-01 00:43:00.02 PST,2846.67+j935.654
2025-01-01 00:44:00.02 PST,2842+j934.12
2025-01-01 00:45:00.02 PST,2837.33+j932.586
2025-01-01 00:46:00.02 PST,2458.67+j808.125
2025-01-01 00:47:00.02 PST,2080.67+j683.882
2025-01-01 00:48:00.02 PST,1706.67+j560.954
2025-01-01 00:49:00.02 PST,1332.67+j438.026
2025-01-01 00:50:00.02 PST,958.667+j315.099
2025-01-01 00:51:00.02 PST,956.667+j314.441
2025-01-01 00:52:00.02 PST,954.667+j313.784
2025-01-01 00:53:00.02 PST,904.667+j297.35
2025-01-01 00:54:00.02 PST,854.667+j280.915
2025-01-01 00:55:00.02 PST,804.667+j264.481
2025-01-01 00:56:00.02 PST,750.667+j246.732
2025-01-01 00:57:00.02 PST,697.222+j229.166
2025-01-01 00:58:00.02 PST,683.778+j224.747
2025-01-01 00:59:00.02 PST,670.333+j220.328
2025-01-01 01:00:00.02 PST,656.889+j215.909
2025-01-01 01:01:00.02 PST,651.444+j214.119
2025-01-01 01:02:00.02 PST,646+j212.33
2025-01-01 01:03:00.02 PST,639.333+j210.139
2025-01-01 01:04:00.02 PST,632.667+j207.948
2025-01-01 01:05:00.02 PST,626+j205.756
2025-01-01 01:06:00.02 PST,619.333+j203.565
2025-01-01 01:07:00.02 PST,612.667+j201.374
2025-01-01 01:08:00.02 PST,614.667+j202.031
2025-01-01 01:09:00.02 PST,616.667+j202.689
2025-01-01 01:10:00.02 PST,618.667+j203.346
2025-01-01 01:11:00.02 PST,638.667+j209.92
2025-01-01 01:12:00.02 PST,658.667+j216.493
2025-01-01 01:13:00.02 PST,678.667+j223.067
2025-01-01 01:14:00.02 PST,692+j227.449
2025-01-01 01:15:00.02 PST,705.333+j231.832
2025-01-01 01:16:00.02 PST,714.667+j234.9
2025-01-01 01:17:00.02 PST,724+j237.967
2025-01-01 01:18:00.02 PST,740+j243.226
2025-01-01 01:19:00.02 PST,758+j249.143
2025-01-01 01:20:00.02 PST,776+j255.059
2025-01-01 01:21:00.02 PST,768+j252.429
2025-01-01 01:22:00.02 PST,760+j249.8
2025-01-01 01:23:00.02 PST,739.333+j243.007
2025-01-01 01:24:00.02 PST,710.667+j233.585
2025-01-01 01:25:00.02 PST,682+j224.163
2025-01-01 01:26:00.02 PST,669.333+j219.999
2025-01-01 01:27:00.02 PST,656.667+j215.836
2025-01-01 01:28:00.02 PST,653.333+j214.74
2025-01-01 01:29:00.02 PST,660+j216.932
2025-01-01 01:30:00.02 PST,666.667+j219.123
2025-01-01 01:31:00.02 PST,687.333+j225.915
2025-01-01 01:32:00.02 PST,708+j232.708
2025-01-01 01:33:00.02 PST,727.333+j239.063
2025-01-01 01:34:00.02 PST,738.667+j242.788
2025-01-01 01:35:00.02 PST,750+j246.513
2025-01-01 01:36:00.02 PST,745.333+j244.979
2025-01-01 01:37:00.02 PST,740.667+j243.445
2025-01-01 01:38:00.02 PST,736.667+j242.131
2025-01-01 01:39:00.02 PST,726.667+j238.844
2025-01-01 01:40:00.02 PST,716.667+j235.557
2025-01-01 01:41:00.02 PST,704.667+j231.613
2025-01-01 01:42:00.02 PST,692.667+j227.669
2025-01-01 01:43:00.02 PST,680.667+j223.724
2025-01-01 01:44:00.02 PST,676.667+j222.41
2025-01-01 01:45:00.02 PST,672.667+j221.095
2025-01-01 01:46:00.02 PST,668.667+j219.78
2025-01-01 01:47:00.02 PST,664.667+j218.465
2025-01-01 01:48:00.02 PST,661.333+j217.37
2025-01-01 01:49:00.02 PST,660+j216.932
2025-01-01 01:50:00.02 PST,658.667+j216.493
2025-01-01 01:51:00.02 PST,661.333+j217.37
2025-01-01 01:52:00.02 PST,664+j218.246
2025-01-01 01:53:00.02 PST,665.333+j218.684
2025-01-01 01:54:00.02 PST,652.667+j214.521
2025-01-01 01:55:00.02 PST,640+j210.358
2025-01-01 01:56:00.02 PST,609.333+j200.278
2025-01-01 01:57:00.02 PST,578.667+j190.199
2025-01-01 01:58:00.02 PST,548.667+j180.338
2025-01-01 01:59:00.02 PST,550.667+j180.995
2025-01-01 02:00:00.02 PST,552.667+j181.653
2025-01-01 02:01:00.02 PST,568.667+j186.912
2025-01-01 02:02:00.02 PST,584.667+j192.171
2025-01-01 02:03:00.02 PST,600.667+j197.43
2025-01-01 02:04:00.02 PST,596.667+j196.115
2025-01-01 02:05:00.02 PST,592.667+j194.8
2025-01-01 02:06:00.02 PST,590.667+j194.143
2025-01-01 02:07:00.02 PST,588.667+j193.485
2025-01-01 02:08:00.02 PST,586.667+j192.828
2025-01-01 02:09:00.02 PST,588.667+j193.485
2025-01-01 02:10:00.02 PST,590.667+j194.143
2025-01-01 02:11:00.02 PST,594.667+j195.458
2025-01-01 02:12:00.02 PST,598.667+j196.772
2025-01-01 02:13:00.02 PST,602.667+j198.087
2025-01-01 02:14:00.02 PST,602.667+j198.087
2025-01-01 02:15:00.02 PST,602.667+j198.087
2025-01-01 02:16:00.02 PST,584.667+j192.171
2025-01-01 02:17:00.02 PST,566.667+j186.254
2025-01-01 02:18:00.02 PST,554.667+j182.31
2025-01-01 02:19:00.02 PST,544.667+j179.023
2025-01-01 02:20:00.02 PST,534.667+j175.737
2025-01-01 02:21:00.02 PST,540.667+j177.709
2025-01-01 02:22:00.02 PST,546.667+j179.681
2025-01-01 02:23:00.02 PST,546+j179.462
2025-01-01 02:24:00.02 PST,545.333+j179.242
2025-01-01 02:25:00.02 PST,544.667+j179.023
2025-01-01 02:26:00.02 PST,544+j178.804
2025-01-01 02:27:00.02 PST,543.333+j178.585
2025-01-01 02:28:00.02 PST,543.333+j178.585
2025-01-01 02:29:00.02 PST,543.333+j178.585
2025-01-01 02:30:00.02 PST,543.333+j178.585
2025-01-01 02:31:00.02 PST,543.333+j178.585
2025-01-01 02:32:00.02 PST,543.333+j178.585
2025-01-01 02:33:00.02 PST,539.333+j177.27
2025-01-01 02:34:00.02 PST,533.333+j175.298
2025-01-01 02:35:00.02 PST,527.333+j173.326
2025-01-01 02:36:00.02 PST,521.333+j171.354
2025-01-01 02:37:00.02 PST,515.333+j169.382
2025-01-01 02:38:00.02 PST,513.333+j168.724
2025-01-01 02:39:00.02 PST,499.333+j164.123
2025-01-01 02:40:00.02 PST,485.333+j159.521
2025-01-01 02:41:00.02 PST,473.333+j155.577
2025-01-01 02:42:00.02 PST,461.333+j151.633
2025-01-01 02:43:00.02 PST,448.667+j147.47
2025-01-01 02:44:00.02 PST,450+j147.908
2025-01-01 02:45:00.02 PST,451.333+j148.346
2025-01-01 02:46:00.02 PST,446.667+j146.812
2025-01-01 02:47:00.02 PST,442+j145.278
2025-01-01 02:48:00.02 PST,438+j143.964
2025-01-01 02:49:00.02 PST,434+j142.649
2025-01-01 02:50:00.02 PST,430+j141.334
2025-01-01 02:51:00.02 PST,444+j145.936
2025-01-01 02:52:00.02 PST,458+j150.537
2025-01-01 02:53:00.02 PST,472+j155.139
2025-01-01 02:54:00.02 PST,486+j159.74
2025-01-01 02:55:00.02 PST,500+j164.342
2025-01-01 02:56:00.02 PST,500+j164.342
2025-01-01 02:57:00.02 PST,500+j164.342
2025-01-01 02:58:00.02 PST,495.333+j162.808
2025-01-01 02:59:00.02 PST,490.667+j161.274
2025-01-01 03:00:00.02 PST,486+j159.74
2025-01-01 03:01:00.02 PST,487.333+j160.179
2025-01-01 03:02:00.02 PST,488.667+j160.617
2025-01-01 03:03:00.02 PST,494+j162.37
2025-01-01 03:04:00.02 PST,499.333+j164.123
2025-01-01 03:05:00.02 PST,504.667+j165.876
2025-01-01 03:06:00.02 PST,502+j164.999
2025-01-01 03:07:00.02 PST,499.333+j164.123
2025-01-01 03:08:00.02 PST,498+j163.685
2025-01-01 03:09:00.02 PST,496.667+j163.247
2025-01-01 03:10:00.02 PST,495.333+j162.808
2025-01-01 03:11:00.02 PST,496+j163.027
2025-01-01 03:12:00.02 PST,496.667+j163.247
2025-01-01 03:13:00.02 PST,496.667+j163.247
2025-01-01 03:14:00.02 PST,498.667+j163.904
2025-01-01 03:15:00.02 PST,500.667+j164.561
2025-01-01 03:16:00.02 PST,504.667+j165.876
2025-01-01 03:17:00.02 PST,508.667+j167.191
2025-01-01 03:18:00.02 PST,514+j168.944
2025-01-01 03:19:00.02 PST,507.333+j166.752
2025-01-01 03:20:00.02 PST,510.667+j167.848
2025-01-01 03:21:00.02 PST,510+j167.629
2025-01-01 03:22:00.02 PST,509.333+j167.41
2025-01-01 03:23:00.02 PST,507.333+j166.752
2025-01-01 03:24:00.02 PST,505.333+j166.095
2025-01-01 03:25:00.02 PST,503.333+j165.438
2025-01-01 03:26:00.02 PST,501.333+j164.78
2025-01-01 03:27:00.02 PST,499.333+j164.123
2025-01-01 03:28:00.02 PST,496+j163.027
2025-01-01 03:29:00.02 PST,492.667+j161.932
2025-01-01 03:30:00.02 PST,489.333+j160.836
2025-01-01 03:31:00.02 PST,506+j166.314
2025-01-01 03:32:00.02 PST,522.667+j171.792
2025-01-01 03:33:00.02 PST,540.667+j177.709
2025-01-01 03:34:00.02 PST,558.667+j183.625
2025-01-01 03:35:00.02 PST,576.667+j189.541
2025-01-01 03:36:00.02 PST,574.667+j188.884
2025-01-01 03:37:00.02 PST,572.667+j188.227
2025-01-01 03:38:00.02 PST,570.667+j187.569
2025-01-01 03:39:00.02 PST,568.667+j186.912
2025-01-01 03:40:00.02 PST,570.667+j187.569
2025-01-01 03:41:00.02 PST,574.667+j188.884
2025-01-01 03:42:00.02 PST,578.667+j190.199
2025-01-01 03:43:00.02 PST,582+j191.294
2025-01-01 03:44:00.02 PST,585.333+j192.39
2025-01-01 03:45:00.02 PST,580.667+j190.856
2025-01-01 03:46:00.02 PST,562+j184.72
2025-01-01 03:47:00.02 PST,543.333+j178.585
2025-01-01 03:48:00.02 PST,525.333+j172.669
2025-01-01 03:49:00.02 PST,507.333+j166.752
2025-01-01 03:50:00.02 PST,493.333+j162.151
2025-01-01 03:51:00.02 PST,509.333+j167.41
2025-01-01 03:52:00.02 PST,525.333+j172.669
2025-01-01 03:53:00.02 PST,542+j178.147
2025-01-01 03:54:00.02 PST,558.667+j183.625
2025-01-01 03:55:00.02 PST,575.333+j189.103
2025-01-01 03:56:00.02 PST,560+j184.063
2025-01-01 03:57:00.02 PST,544.667+j179.023
2025-01-01 03:58:00.02 PST,528.111+j173.582
2025-01-01 03:59:00.02 PST,511.556+j168.14
2025-01-01 04:00:00.02 PST,495+j162.699
2025-01-01 04:01:00.02 PST,494.444+j162.516
2025-01-01 04:02:00.02 PST,493.889+j162.333
2025-01-01 04:03:00.02 PST,493.333+j162.151
2025-01-01 04:04:00.02 PST,493.333+j162.151
2025-01-01 04:05:00.02 PST,509.333+j167.41
2025-01-01 04:06:00.02 PST,527.333+j173.326
2025-01-01 04:07:00.02 PST,545.333+j179.242
2025-01-01 04:08:00.02 PST,563.333+j185.159
2025-01-01 04:09:00.02 PST,587.333+j193.047
2025-01-01 04:10:00.02 PST,597.333+j196.334
2025-01-01 04:11:00.02 PST,589.333+j193.704
2025-01-01 04:12:00.02 PST,581.333+j191.075
