#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,1241.44+j408.043
2025-01-01 00:02:00.00 PST,1275+j419.072
2025-01-01 00:03:00.00 PST,1315.56+j432.402
2025-01-01 00:04:00.00 PST,1561.78+j513.332
2025-01-01 00:05:00.00 PST,1578+j518.664
2025-01-01 00:06:00.00 PST,1629+j535.426
2025-01-01 00:07:00.00 PST,1457+j478.893
2025-01-01 00:08:00.00 PST,1501.67+j493.574
2025-01-01 00:09:00.00 PST,1538.67+j505.735
2025-01-01 00:10:00.02 PST,1460+j479.879
2025-01-01 00:11:00.02 PST,1383+j454.57
2025-01-01 00:12:00.02 PST,1297.33+j426.413
2025-01-01 00:13:00.02 PST,1206+j396.393
2025-01-01 00:14:00.02 PST,1015.33+j333.724
2025-01-01 00:15:00.02 PST,1003.67+j329.889
2025-01-01 00:16:00.02 PST,1081+j355.308
2025-01-01 00:17:00.02 PST,1076.67+j353.883
2025-01-01 00:18:00.02 PST,1278.33+j420.168
2025-01-01 00:19:00.02 PST,1271.67+j417.977
2025-01-01 00:20:00.02 PST,1317.67+j433.096
2025-01-01 00:21:00.02 PST,1361.33+j447.449
2025-01-01 00:22:00.02 PST,1172.67+j385.437
2025-01-01 00:23:00.02 PST,1252+j411.512
2025-01-01 00:24:00.02 PST,1293+j424.989
2025-01-01 00:25:00.02 PST,1286.67+j422.907
2025-01-01 00:26:00.02 PST,1392+j457.528
2025-01-01 00:27:00.02 PST,1354.67+j445.258
2025-01-01 00:28:00.02 PST,1227.33+j403.405
2025-01-01 00:29:00.02 PST,1215.33+j399.461
2025-01-01 00:30:00.02 PST,1165.89+j383.209
2025-01-01 00:31:00.02 PST,1117.78+j367.396
2025-01-01 00:32:00.02 PST,1076.33+j353.774
2025-01-01 00:33:00.02 PST,1079.22+j354.723
2025-01-01 00:34:00.02 PST,1109.11+j364.547
2025-01-01 00:35:00.02 PST,1112.33+j365.606
2025-01-01 00:36:00.02 PST,1219.67+j400.885
2025-01-01 00:37:00.02 PST,1220.33+j401.104
2025-01-01 00:38:00.02 PST,1009+j331.642
2025-01-01 00:39:00.02 PST,981+j322.439
2025-01-01 00:40:00.02 PST,1200.33+j394.53
2025-01-01 00:41:00.02 PST,1228.33+j403.734
2025-01-01 00:42:00.02 PST,1273.33+j418.524
2025-01-01 00:43:00.02 PST,1300.33+j427.399
2025-01-01 00:44:00.02 PST,1349.33+j443.504
2025-01-01 00:45:00.02 PST,1392.33+j457.638
2025-01-01 00:46:00.02 PST,1354.33+j445.148
2025-01-01 00:47:00.02 PST,1392+j457.528
2025-01-01 00:48:00.02 PST,1434+j471.333
2025-01-01 00:49:00.02 PST,1576.33+j518.116
2025-01-01 00:50:00.02 PST,1594.33+j524.032
2025-01-01 00:51:00.02 PST,1577+j518.335
2025-01-01 00:52:00.02 PST,1567.67+j515.267
2025-01-01 00:53:00.02 PST,1539.67+j506.064
2025-01-01 00:54:00.02 PST,1515.33+j498.066
2025-01-01 00:55:00.02 PST,1454.67+j478.126
2025-01-01 00:56:00.02 PST,1435.17+j471.717
2025-01-01 00:57:00.02 PST,1437+j472.319
2025-01-01 00:58:00.02 PST,1435.17+j471.717
2025-01-01 00:59:00.02 PST,1436+j471.99
2025-01-01 01:00:00.02 PST,1407.11+j462.495
2025-01-01 01:01:00.02 PST,1315.56+j432.402
2025-01-01 01:02:00.02 PST,1296+j425.975
2025-01-01 01:03:00.02 PST,1328.11+j436.529
2025-01-01 01:04:00.02 PST,1343.89+j441.715
2025-01-01 01:05:00.02 PST,1354.33+j445.148
2025-01-01 01:06:00.02 PST,1364.33+j448.435
2025-01-01 01:07:00.02 PST,1056.67+j347.31
2025-01-01 01:08:00.02 PST,1068.33+j351.144
2025-01-01 01:09:00.02 PST,1310.33+j430.686
2025-01-01 01:10:00.02 PST,1400.67+j460.377
2025-01-01 01:11:00.02 PST,1475.67+j485.028
2025-01-01 01:12:00.02 PST,1532.67+j503.763
2025-01-01 01:13:00.02 PST,1385.67+j455.447
2025-01-01 01:14:00.02 PST,1450.33+j476.701
2025-01-01 01:15:00.02 PST,1566.67+j514.939
2025-01-01 01:16:00.02 PST,1479.33+j486.233
2025-01-01 01:17:00.02 PST,1483+j487.439
2025-01-01 01:18:00.02 PST,1355+j445.367
2025-01-01 01:19:00.02 PST,1222.67+j401.871
2025-01-01 01:20:00.02 PST,923.333+j303.485
2025-01-01 01:21:00.02 PST,922.667+j303.266
2025-01-01 01:22:00.02 PST,934+j306.991
2025-01-01 01:23:00.02 PST,978+j321.453
2025-01-01 01:24:00.02 PST,1020+j335.258
2025-01-01 01:25:00.02 PST,1075+j353.335
2025-01-01 01:26:00.02 PST,1362.33+j447.777
2025-01-01 01:27:00.02 PST,1410.67+j463.664
2025-01-01 01:28:00.02 PST,1471.33+j483.604
2025-01-01 01:29:00.02 PST,1625+j534.112
2025-01-01 01:30:00.02 PST,1593.33+j523.703
2025-01-01 01:31:00.02 PST,1557+j511.761
2025-01-01 01:32:00.02 PST,1306.33+j429.371
2025-01-01 01:33:00.02 PST,1161.67+j381.821
2025-01-01 01:34:00.02 PST,1110+j364.839
2025-01-01 01:35:00.02 PST,1107.67+j364.073
2025-01-01 01:36:00.02 PST,1107.33+j363.963
2025-01-01 01:37:00.02 PST,1101.67+j362.1
2025-01-01 01:38:00.02 PST,1083.33+j356.074
2025-01-01 01:39:00.02 PST,1074.33+j353.116
2025-01-01 01:40:00.02 PST,1105.67+j363.415
2025-01-01 01:41:00.02 PST,1171.33+j384.999
2025-01-01 01:42:00.02 PST,1472.67+j484.042
2025-01-01 01:43:00.02 PST,1507+j495.327
2025-01-01 01:44:00.02 PST,1544.67+j507.707
2025-01-01 01:45:00.02 PST,1189+j390.805
2025-01-01 01:46:00.02 PST,1168.67+j384.122
2025-01-01 01:47:00.02 PST,1143+j375.686
2025-01-01 01:48:00.02 PST,1122.33+j368.893
2025-01-01 01:49:00.02 PST,1107.33+j363.963
2025-01-01 01:50:00.02 PST,1135.33+j373.166
2025-01-01 01:51:00.02 PST,1140.33+j374.809
2025-01-01 01:52:00.02 PST,1145+j376.343
2025-01-01 01:53:00.02 PST,1145.33+j376.453
2025-01-01 01:54:00.02 PST,1235+j405.925
2025-01-01 01:55:00.02 PST,1257.33+j413.265
2025-01-01 01:56:00.02 PST,1294.67+j425.536
2025-01-01 01:57:00.02 PST,1458.33+j479.331
2025-01-01 01:58:00.02 PST,1475.67+j485.028
2025-01-01 01:59:00.02 PST,1504.67+j494.56
2025-01-01 02:00:00.02 PST,1401.33+j460.596
2025-01-01 02:01:00.02 PST,1285+j422.359
2025-01-01 02:02:00.02 PST,1172.67+j385.437
2025-01-01 02:03:00.02 PST,836.667+j274.999
2025-01-01 02:04:00.02 PST,727+j238.953
2025-01-01 02:05:00.02 PST,714.667+j234.9
2025-01-01 02:06:00.02 PST,796.333+j261.742
2025-01-01 02:07:00.02 PST,790.333+j259.77
2025-01-01 02:08:00.02 PST,774.667+j254.621
2025-01-01 02:09:00.02 PST,768.667+j252.649
2025-01-01 02:10:00.02 PST,716.333+j235.447
2025-01-01 02:11:00.02 PST,788+j259.003
2025-01-01 02:12:00.02 PST,847.667+j278.615
2025-01-01 02:13:00.02 PST,897+j294.83
2025-01-01 02:14:00.02 PST,1184.67+j389.381
2025-01-01 02:15:00.02 PST,1192+j391.791
2025-01-01 02:16:00.02 PST,1137.33+j373.823
2025-01-01 02:17:00.02 PST,1075+j353.335
2025-01-01 02:18:00.02 PST,1097+j360.566
2025-01-01 02:19:00.02 PST,818.667+j269.083
2025-01-01 02:20:00.02 PST,784.667+j257.908
2025-01-01 02:21:00.02 PST,753.333+j247.609
2025-01-01 02:22:00.02 PST,726.667+j238.844
2025-01-01 02:23:00.02 PST,701+j230.408
2025-01-01 02:24:00.02 PST,682.333+j224.272
2025-01-01 02:25:00.02 PST,569.333+j187.131
2025-01-01 02:26:00.02 PST,571.667+j187.898
2025-01-01 02:27:00.02 PST,568.333+j186.802
2025-01-01 02:28:00.02 PST,566.333+j186.145
2025-01-01 02:29:00.02 PST,564.667+j185.597
2025-01-01 02:30:00.02 PST,891+j292.858
2025-01-01 02:31:00.02 PST,912.667+j299.979
2025-01-01 02:32:00.02 PST,933.667+j306.882
2025-01-01 02:33:00.02 PST,962.667+j316.413
2025-01-01 02:34:00.02 PST,902+j296.473
2025-01-01 02:35:00.02 PST,688+j226.135
2025-01-01 02:36:00.02 PST,685.444+j225.295
2025-01-01 02:37:00.02 PST,678.889+j223.14
2025-01-01 02:38:00.02 PST,666.333+j219.013
2025-01-01 02:39:00.02 PST,655.111+j215.325
2025-01-01 02:40:00.02 PST,642.556+j211.198
2025-01-01 02:41:00.02 PST,631.667+j207.619
2025-01-01 02:42:00.02 PST,625.667+j205.647
2025-01-01 02:43:00.02 PST,713.333+j234.461
2025-01-01 02:44:00.02 PST,714+j234.68
2025-01-01 02:45:00.02 PST,941+j309.292
2025-01-01 02:46:00.02 PST,854.667+j280.915
2025-01-01 02:47:00.02 PST,862+j283.326
2025-01-01 02:48:00.02 PST,644.333+j211.782
2025-01-01 02:49:00.02 PST,646.333+j212.439
2025-01-01 02:50:00.02 PST,864+j283.983
2025-01-01 02:51:00.02 PST,871+j286.284
