#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,2598+j853.921
2025-01-01 00:02:00.00 PST,2620+j861.152
2025-01-01 00:03:00.00 PST,2663+j875.286
2025-01-01 00:04:00.00 PST,2645+j869.369
2025-01-01 00:05:00.00 PST,3108+j1021.55
2025-01-01 00:06:00.00 PST,3496+j1149.08
2025-01-01 00:07:00.00 PST,3910+j1285.15
2025-01-01 00:08:00.00 PST,4728+j1554.02
2025-01-01 00:09:00.00 PST,5605+j1842.27
2025-01-01 00:10:00.02 PST,5556+j1826.17
2025-01-01 00:11:00.02 PST,5406+j1776.87
2025-01-01 00:12:00.02 PST,5412+j1778.84
2025-01-01 00:13:00.02 PST,4987+j1639.15
2025-01-01 00:14:00.02 PST,4681+j1538.57
2025-01-01 00:15:00.02 PST,4673+j1535.94
2025-01-01 00:16:00.02 PST,4690+j1541.53
2025-01-01 00:17:00.02 PST,4681+j1538.57
2025-01-01 00:18:00.02 PST,4285+j1408.41
2025-01-01 00:19:00.02 PST,3888+j1277.92
2025-01-01 00:20:00.02 PST,3452+j1134.62
2025-01-01 00:21:00.02 PST,3017+j991.64
2025-01-01 00:22:00.02 PST,2583+j848.991
2025-01-01 00:23:00.02 PST,2544+j836.172
2025-01-01 00:24:00.02 PST,2584+j849.32
2025-01-01 00:25:00.02 PST,2581+j848.334
2025-01-01 00:26:00.02 PST,2578+j847.348
2025-01-01 00:27:00.02 PST,2585+j849.648
2025-01-01 00:28:00.02 PST,2638+j867.069
2025-01-01 00:29:00.02 PST,2672+j878.244
2025-01-01 00:30:00.02 PST,2699.33+j887.228
2025-01-01 00:31:00.02 PST,2754.67+j905.415
2025-01-01 00:32:00.02 PST,2771+j910.784
2025-01-01 00:33:00.02 PST,3234.33+j1063.07
2025-01-01 00:34:00.02 PST,3688.67+j1212.41
2025-01-01 00:35:00.02 PST,4086+j1343
2025-01-01 00:36:00.02 PST,4516+j1484.34
2025-01-01 00:37:00.02 PST,4981+j1637.18
2025-01-01 00:38:00.02 PST,4885+j1605.62
2025-01-01 00:39:00.02 PST,4829+j1587.22
2025-01-01 00:40:00.02 PST,4738+j1557.3
2025-01-01 00:41:00.02 PST,4640+j1525.09
2025-01-01 00:42:00.02 PST,4616+j1517.21
2025-01-01 00:43:00.02 PST,4255+j1398.55
2025-01-01 00:44:00.02 PST,3912+j1285.81
2025-01-01 00:45:00.02 PST,3469+j1140.2
2025-01-01 00:46:00.02 PST,3029+j995.584
2025-01-01 00:47:00.02 PST,2602+j855.236
2025-01-01 00:48:00.02 PST,2580+j848.005
2025-01-01 00:49:00.02 PST,2569+j844.389
2025-01-01 00:50:00.02 PST,2562+j842.089
2025-01-01 00:51:00.02 PST,2559+j841.103
2025-01-01 00:52:00.02 PST,2566+j843.403
2025-01-01 00:53:00.02 PST,2553+j839.131
2025-01-01 00:54:00.02 PST,2489+j818.095
2025-01-01 00:55:00.02 PST,2471+j812.178
2025-01-01 00:56:00.02 PST,2438+j801.332
2025-01-01 00:57:00.02 PST,2507+j824.011
2025-01-01 00:58:00.02 PST,2474+j813.164
2025-01-01 00:59:00.02 PST,2449+j804.947
2025-01-01 01:00:00.02 PST,2495+j820.067
2025-01-01 01:01:00.02 PST,2960+j972.905
2025-01-01 01:02:00.02 PST,3358+j1103.72
2025-01-01 01:03:00.02 PST,3754+j1233.88
2025-01-01 01:04:00.02 PST,4240+j1393.62
2025-01-01 01:05:00.02 PST,4636+j1523.78
2025-01-01 01:06:00.02 PST,4628+j1521.15
2025-01-01 01:07:00.02 PST,4510+j1482.37
2025-01-01 01:08:00.02 PST,4557+j1497.81
2025-01-01 01:09:00.02 PST,4554+j1496.83
2025-01-01 01:10:00.02 PST,4574+j1503.4
2025-01-01 01:11:00.02 PST,4089+j1343.99
2025-01-01 01:12:00.02 PST,3715+j1221.06
2025-01-01 01:13:00.02 PST,3306+j1086.63
2025-01-01 01:14:00.02 PST,3057+j1004.79
