#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,2789.33+j916.809
2025-01-01 00:02:00.00 PST,2828.67+j929.738
2025-01-01 00:03:00.00 PST,2836+j932.148
2025-01-01 00:04:00.00 PST,4710+j1548.1
2025-01-01 00:05:00.00 PST,4706+j1546.79
2025-01-01 00:06:00.00 PST,4705.33+j1546.57
2025-01-01 00:07:00.00 PST,4702.67+j1545.69
2025-01-01 00:08:00.00 PST,4707.33+j1547.23
2025-01-01 00:09:00.00 PST,4718.67+j1550.95
2025-01-01 00:10:00.02 PST,4751.33+j1561.69
2025-01-01 00:11:00.02 PST,4754+j1562.56
2025-01-01 00:12:00.02 PST,4775.33+j1569.58
2025-01-01 00:13:00.02 PST,4713.33+j1549.2
2025-01-01 00:14:00.02 PST,4688+j1540.87
2025-01-01 00:15:00.02 PST,4642+j1525.75
2025-01-01 00:16:00.02 PST,4566+j1500.77
2025-01-01 00:17:00.02 PST,4506.67+j1481.27
2025-01-01 00:18:00.02 PST,4564+j1500.11
2025-01-01 00:19:00.02 PST,4518+j1485
2025-01-01 00:20:00.02 PST,4665.33+j1533.42
2025-01-01 00:21:00.02 PST,2846+j935.435
2025-01-01 00:22:00.02 PST,2826.67+j929.081
2025-01-01 00:23:00.02 PST,2818.67+j926.451
2025-01-01 00:24:00.02 PST,2790.67+j917.248
2025-01-01 00:25:00.02 PST,2780+j913.742
2025-01-01 00:26:00.02 PST,2802.67+j921.192
2025-01-01 00:27:00.02 PST,2872+j943.981
2025-01-01 00:28:00.02 PST,2904.67+j954.718
2025-01-01 00:29:00.02 PST,2920.67+j959.977
2025-01-01 00:30:00.02 PST,2906+j955.156
2025-01-01 00:31:00.02 PST,2884.67+j948.144
2025-01-01 00:32:00.02 PST,2866.67+j942.228
2025-01-01 00:33:00.02 PST,2836.67+j932.367
2025-01-01 00:34:00.02 PST,2820+j926.889
2025-01-01 00:35:00.02 PST,2810+j923.602
2025-01-01 00:36:00.02 PST,2870+j943.323
2025-01-01 00:37:00.02 PST,2863.33+j941.132
2025-01-01 00:38:00.02 PST,2966.67+j975.096
2025-01-01 00:39:00.02 PST,2800+j920.315
2025-01-01 00:40:00.02 PST,2809.33+j923.383
2025-01-01 00:41:00.02 PST,2815.33+j925.355
2025-01-01 00:42:00.02 PST,2814.67+j925.136
2025-01-01 00:43:00.02 PST,2810+j923.602
2025-01-01 00:44:00.02 PST,2795.33+j918.782
2025-01-01 00:45:00.02 PST,2714+j892.049
2025-01-01 00:46:00.02 PST,2749.33+j903.662
2025-01-01 00:47:00.02 PST,2888+j949.24
2025-01-01 00:48:00.02 PST,2978.67+j979.04
2025-01-01 00:49:00.02 PST,2992.67+j983.642
2025-01-01 00:50:00.02 PST,3023.33+j993.722
2025-01-01 00:51:00.02 PST,3054+j1003.8
2025-01-01 00:52:00.02 PST,3071.33+j1009.5
2025-01-01 00:53:00.02 PST,3000.67+j986.272
2025-01-01 00:54:00.02 PST,2850+j936.75
2025-01-01 00:55:00.02 PST,2780+j913.742
2025-01-01 00:56:00.02 PST,2690+j884.16
2025-01-01 00:57:00.02 PST,2630+j864.439
2025-01-01 00:58:00.02 PST,2684+j882.188
2025-01-01 00:59:00.02 PST,2738+j899.937
2025-01-01 01:00:00.02 PST,2775.33+j912.208
2025-01-01 01:01:00.02 PST,2832.67+j931.053
2025-01-01 01:02:00.02 PST,2886.67+j948.802
2025-01-01 01:03:00.02 PST,2900.67+j953.403
2025-01-01 01:04:00.02 PST,2904.67+j954.718
2025-01-01 01:05:00.02 PST,2900.33+j953.293
2025-01-01 01:06:00.02 PST,2899.33+j952.965
2025-01-01 01:07:00.02 PST,2883.33+j947.706
2025-01-01 01:08:00.02 PST,2886+j948.582
2025-01-01 01:09:00.02 PST,2895.33+j951.65
2025-01-01 01:10:00.02 PST,2911.33+j956.909
2025-01-01 01:11:00.02 PST,2917.33+j958.881
2025-01-01 01:12:00.02 PST,2933.33+j964.14
2025-01-01 01:13:00.02 PST,2879.33+j946.391
2025-01-01 01:14:00.02 PST,2742+j901.252
2025-01-01 01:15:00.02 PST,2688+j883.503
2025-01-01 01:16:00.02 PST,2637.33+j866.849
2025-01-01 01:17:00.02 PST,2570+j844.718
2025-01-01 01:18:00.02 PST,2632+j865.097
2025-01-01 01:19:00.02 PST,2674+j878.901
2025-01-01 01:20:00.02 PST,2736+j899.28
2025-01-01 01:21:00.02 PST,2798+j919.658
2025-01-01 01:22:00.02 PST,2840+j933.463
2025-01-01 01:23:00.02 PST,2807.33+j922.726
2025-01-01 01:24:00.02 PST,2801.33+j920.754
2025-01-01 01:25:00.02 PST,2806.33+j922.397
2025-01-01 01:26:00.02 PST,2791.33+j917.467
2025-01-01 01:27:00.02 PST,2774.67+j911.989
2025-01-01 01:28:00.02 PST,2774+j911.77
2025-01-01 01:29:00.02 PST,2770+j910.455
2025-01-01 01:30:00.02 PST,2768.67+j910.017
2025-01-01 01:31:00.02 PST,2764+j908.483
2025-01-01 01:32:00.02 PST,2759.33+j906.949
2025-01-01 01:33:00.02 PST,2686.67+j883.065
2025-01-01 01:34:00.02 PST,2524+j829.599
2025-01-01 01:35:00.02 PST,2466+j810.535
2025-01-01 01:36:00.02 PST,2398+j788.184
2025-01-01 01:37:00.02 PST,2330+j765.834
2025-01-01 01:38:00.02 PST,2500+j821.71
2025-01-01 01:39:00.02 PST,2540+j834.858
2025-01-01 01:40:00.02 PST,2588.67+j850.854
2025-01-01 01:41:00.02 PST,2657.33+j873.423
2025-01-01 01:42:00.02 PST,2786+j915.714
2025-01-01 01:43:00.02 PST,2778.67+j913.304
