#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,2218.33+j729.131
2025-01-01 00:02:00.00 PST,2135+j701.741
2025-01-01 00:03:00.00 PST,2210+j726.392
2025-01-01 00:04:00.00 PST,2346.67+j771.312
2025-01-01 00:05:00.00 PST,2300+j755.973
2025-01-01 00:06:00.00 PST,2183.33+j717.627
2025-01-01 00:07:00.00 PST,2213.33+j727.487
2025-01-01 00:08:00.00 PST,2102.5+j691.058
2025-01-01 00:09:00.00 PST,2148.33+j706.123
2025-01-01 00:10:00.02 PST,1860.83+j611.626
2025-01-01 00:11:00.02 PST,1893.33+j622.308
2025-01-01 00:12:00.02 PST,1900+j624.5
2025-01-01 00:13:00.02 PST,1896.67+j623.404
2025-01-01 00:14:00.02 PST,2283.33+j750.495
2025-01-01 00:15:00.02 PST,2023.33+j665.037
2025-01-01 00:16:00.02 PST,2363.33+j776.79
2025-01-01 00:17:00.02 PST,3170+j1041.93
2025-01-01 00:18:00.02 PST,2420+j795.416
2025-01-01 00:19:00.02 PST,2363.33+j776.79
2025-01-01 00:20:00.02 PST,2180+j716.531
2025-01-01 00:21:00.02 PST,2055+j675.446
2025-01-01 00:22:00.02 PST,2030+j667.229
2025-01-01 00:23:00.02 PST,2020+j663.942
2025-01-01 00:24:00.02 PST,2009.33+j660.436
2025-01-01 00:25:00.02 PST,2015.33+j662.408
2025-01-01 00:26:00.02 PST,1994.67+j655.615
2025-01-01 00:27:00.02 PST,1837.33+j603.902
2025-01-01 00:28:00.02 PST,1853.33+j609.161
2025-01-01 00:29:00.02 PST,1806.67+j593.823
2025-01-01 00:30:00.02 PST,1880+j617.926
2025-01-01 00:31:00.02 PST,1820+j598.205
2025-01-01 00:32:00.02 PST,1880+j617.926
2025-01-01 00:33:00.02 PST,2063.33+j678.185
2025-01-01 00:34:00.02 PST,2113.33+j694.619
2025-01-01 00:35:00.02 PST,2133.33+j701.193
2025-01-01 00:36:00.02 PST,2520+j828.284
2025-01-01 00:37:00.02 PST,2354.67+j773.942
2025-01-01 00:38:00.02 PST,2342.67+j769.997
