#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,144.667+j47.55
2025-01-01 00:02:00.00 PST,140.667+j46.235
2025-01-01 00:03:00.00 PST,140.667+j46.235
2025-01-01 00:04:00.00 PST,140.667+j46.235
2025-01-01 00:05:00.00 PST,140.667+j46.235
2025-01-01 00:06:00.00 PST,140.667+j46.235
2025-01-01 00:07:00.00 PST,138.667+j45.578
2025-01-01 00:08:00.00 PST,136.667+j44.92
2025-01-01 00:09:00.00 PST,134.667+j44.263
2025-01-01 00:10:00.02 PST,132.667+j43.606
2025-01-01 00:11:00.02 PST,130.667+j42.948
2025-01-01 00:12:00.02 PST,130.667+j42.948
2025-01-01 00:13:00.02 PST,132+j43.386
2025-01-01 00:14:00.02 PST,133.333+j43.824
2025-01-01 00:15:00.02 PST,134.667+j44.263
2025-01-01 00:16:00.02 PST,136+j44.701
2025-01-01 00:17:00.02 PST,137.333+j45.139
2025-01-01 00:18:00.02 PST,138.667+j45.578
2025-01-01 00:19:00.02 PST,140+j46.016
2025-01-01 00:20:00.02 PST,141.333+j46.454
2025-01-01 00:21:00.02 PST,142.667+j46.892
2025-01-01 00:22:00.02 PST,143.333+j47.111
2025-01-01 00:23:00.02 PST,142.667+j46.892
2025-01-01 00:24:00.02 PST,142+j46.673
2025-01-01 00:25:00.02 PST,141.333+j46.454
2025-01-01 00:26:00.02 PST,140.667+j46.235
2025-01-01 00:27:00.02 PST,138.889+j45.651
2025-01-01 00:28:00.02 PST,137.778+j45.285
2025-01-01 00:29:00.02 PST,136.667+j44.92
2025-01-01 00:30:00.02 PST,135.556+j44.555
2025-01-01 00:31:00.02 PST,134.444+j44.19
2025-01-01 00:32:00.02 PST,133.333+j43.824
2025-01-01 00:33:00.02 PST,135+j44.372
2025-01-01 00:34:00.02 PST,136.667+j44.92
2025-01-01 00:35:00.02 PST,138.333+j45.468
2025-01-01 00:36:00.02 PST,140+j46.016
2025-01-01 00:37:00.02 PST,139.333+j45.797
2025-01-01 00:38:00.02 PST,138.667+j45.578
2025-01-01 00:39:00.02 PST,138+j45.358
2025-01-01 00:40:00.02 PST,137.333+j45.139
2025-01-01 00:41:00.02 PST,136.667+j44.92
2025-01-01 00:42:00.02 PST,136.667+j44.92
2025-01-01 00:43:00.02 PST,136.667+j44.92
2025-01-01 00:44:00.02 PST,136.667+j44.92
2025-01-01 00:45:00.02 PST,136.667+j44.92
2025-01-01 00:46:00.02 PST,136.667+j44.92
2025-01-01 00:47:00.02 PST,136.667+j44.92
2025-01-01 00:48:00.02 PST,148+j48.645
2025-01-01 00:49:00.02 PST,159.333+j52.37
2025-01-01 00:50:00.02 PST,170.667+j56.096
2025-01-01 00:51:00.02 PST,182+j59.821
2025-01-01 00:52:00.02 PST,191.333+j62.888
2025-01-01 00:53:00.02 PST,188.667+j62.012
2025-01-01 00:54:00.02 PST,186+j61.135
2025-01-01 00:55:00.02 PST,183.333+j60.259
2025-01-01 00:56:00.02 PST,180.667+j59.382
2025-01-01 00:57:00.02 PST,182+j59.821
2025-01-01 00:58:00.02 PST,172.667+j56.753
2025-01-01 00:59:00.02 PST,163.333+j53.685
2025-01-01 01:00:00.02 PST,154+j50.617
2025-01-01 01:01:00.02 PST,144.667+j47.55
2025-01-01 01:02:00.02 PST,139.333+j45.797
2025-01-01 01:03:00.02 PST,145.333+j47.769
2025-01-01 01:04:00.02 PST,151.333+j49.741
